Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:40;None;None;X=15.114 Y=14.707 Z=-24.986;P=-28.480930 Y=-168.291626 R=67.124649;X=0.538 Y=-13.208 Z=-70.719;P=-51.472927 Y=-8.876087 R=-169.967514;X=-15.950 Y=-11.106 Z=4.167;P=-31.773800 Y=26.872160 R=-3.535097;0;0;X=-15.122 Y=-10.907 Z=3.659;X=0.728 Y=0.468 Z=-0.501
0:0:565;None;None;X=8.565 Y=8.470 Z=-25.755;P=-29.641825 Y=-178.106674 R=63.786777;X=0.538 Y=-13.208 Z=-70.719;P=-51.472927 Y=-8.876087 R=-169.967514;X=-15.490 Y=-12.143 Z=3.873;P=-32.376583 Y=24.764585 R=-3.674501;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:159;None;None;X=2.457 Y=3.287 Z=-49.002;P=1.242637 Y=-175.848846 R=51.050770;X=0.538 Y=-13.208 Z=-70.719;P=-51.472927 Y=-8.876087 R=-169.967514;X=-13.673 Y=-13.858 Z=0.567;P=-44.751396 Y=3.779564 R=3.384265;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:559;None;None;X=6.740 Y=-2.094 Z=-46.889;P=-5.446406 Y=175.286545 R=51.928650;X=7.919 Y=-23.432 Z=-47.902;P=0.781175 Y=15.268102 R=-133.023880;X=-12.865 Y=-14.507 Z=-1.626;P=-52.506950 Y=-3.150300 R=5.163031;0;0;X=-12.282 Y=-14.797 Z=-2.361;X=0.610 Y=0.010 Z=-0.793
0:2:71;None;None;X=10.617 Y=-1.868 Z=-46.098;P=-4.587886 Y=173.493973 R=57.263844;X=11.029 Y=-23.993 Z=-47.548;P=1.316369 Y=18.880579 R=-121.490318;X=-9.123 Y=-14.301 Z=-1.922;P=-54.155869 Y=-6.444708 R=5.063238;0;0;X=-8.943 Y=-14.979 Z=-2.602;X=0.519 Y=-0.144 Z=-0.842
0:2:551;None;None;X=21.164 Y=-2.147 Z=-48.153;P=-4.510814 Y=168.847626 R=50.531971;X=18.486 Y=-23.262 Z=-49.801;P=-3.227763 Y=13.841489 R=-125.955788;X=2.692 Y=-9.753 Z=-1.089;P=-48.780365 Y=-11.343463 R=4.209940;0;0;X=2.982 Y=-10.399 Z=-1.675;X=0.676 Y=-0.105 Z=-0.729
0:3:53;None;None;X=29.671 Y=-3.008 Z=-52.039;P=0.551661 Y=161.224045 R=45.070972;X=17.010 Y=-23.131 Z=-59.000;P=-23.294830 Y=6.912379 R=-130.717728;X=12.925 Y=-9.068 Z=-2.100;P=-51.917103 Y=-23.491556 R=7.873930;0;0;X=13.423 Y=-10.039 Z=-2.758;X=0.532 Y=-0.279 Z=-0.800
0:3:547;None;None;X=36.424 Y=-7.566 Z=-51.887;P=3.142365 Y=169.283890 R=44.632675;X=11.379 Y=-22.655 Z=-67.524;P=-44.661442 Y=21.859982 R=-145.959564;X=19.102 Y=-18.707 Z=-2.432;P=-55.070332 Y=-4.712588 R=-1.134856;0;0;X=19.681 Y=-18.758 Z=-3.051;X=0.609 Y=0.079 Z=-0.789
0:4:63;None;None;X=49.582 Y=-8.116 Z=-52.904;P=6.023045 Y=179.288132 R=42.214066;X=21.434 Y=-38.056 Z=-69.626;P=-41.402832 Y=9.134118 R=-151.766632;X=23.752 Y=-21.774 Z=-3.397;P=-56.408291 Y=9.101968 R=-9.923141;0;0;X=24.280 Y=-21.837 Z=-4.165;X=0.551 Y=0.126 Z=-0.825
0:4:527;None;None;X=57.598 Y=-10.707 Z=-57.323;P=8.835512 Y=176.907593 R=37.123009;X=11.028 Y=-44.461 Z=-72.671;P=-46.030296 Y=-12.735716 R=-152.044052;X=28.858 Y=-18.474 Z=-5.122;P=-60.513641 Y=5.418897 R=-7.786783;0;0;X=29.346 Y=-19.203 Z=-5.895;X=0.512 Y=0.075 Z=-0.856
0:5:120;None;None;X=59.084 Y=-11.188 Z=-59.039;P=6.889884 Y=175.224243 R=39.879372;X=11.418 Y=-39.993 Z=-70.238;P=-46.025295 Y=-12.733435 R=-152.057663;X=30.510 Y=-17.501 Z=-5.280;P=-61.635979 Y=-2.978608 R=-2.230682;0;0;X=30.996 Y=-17.907 Z=-5.906;X=0.513 Y=0.064 Z=-0.856
0:5:570;None;None;X=56.826 Y=-11.098 Z=-59.007;P=10.001329 Y=170.423691 R=37.781502;X=11.418 Y=-39.993 Z=-70.238;P=-46.025295 Y=-12.733435 R=-152.057663;X=30.816 Y=-17.330 Z=-4.724;P=-60.207321 Y=-3.370545 R=-0.953674;0;0;X=31.226 Y=-17.516 Z=-5.435;X=0.499 Y=0.055 Z=-0.865
0:6:50;bleach_cleanser;None;X=53.929 Y=-11.269 Z=-60.394;P=16.535545 Y=165.055603 R=38.442722;X=11.418 Y=-39.993 Z=-70.238;P=-46.025295 Y=-12.733435 R=-152.057663;X=30.712 Y=-17.172 Z=-4.938;P=-60.415207 Y=-6.904088 R=2.917836;0;0;X=31.150 Y=-17.318 Z=-5.649;X=0.478 Y=0.052 Z=-0.877
0:6:575;None;None;X=53.177 Y=-10.386 Z=-60.743;P=14.795179 Y=170.958755 R=38.866745;X=11.418 Y=-39.993 Z=-70.238;P=-46.025295 Y=-12.733435 R=-152.057663;X=30.517 Y=-16.930 Z=-5.371;P=-61.438690 Y=-5.767979 R=3.130641;0;0;X=30.825 Y=-17.150 Z=-6.112;X=0.446 Y=0.031 Z=-0.894
0:7:60;None;None;X=52.103 Y=-9.057 Z=-60.434;P=16.969917 Y=172.636932 R=40.168137;X=11.418 Y=-39.993 Z=-70.238;P=-46.025295 Y=-12.733435 R=-152.057663;X=29.784 Y=-16.745 Z=-5.344;P=-61.582390 Y=-4.265717 R=3.260533;0;0;X=30.147 Y=-16.766 Z=-6.090;X=0.439 Y=0.023 Z=-0.898
0:7:577;None;None;X=48.988 Y=-9.925 Z=-62.063;P=22.349997 Y=164.653320 R=38.317661;X=11.418 Y=-39.993 Z=-70.238;P=-46.025295 Y=-12.733435 R=-152.057663;X=29.981 Y=-16.577 Z=-5.445;P=-62.283344 Y=-4.560915 R=3.701321;0;0;X=30.654 Y=-17.027 Z=-6.209;X=0.436 Y=0.030 Z=-0.899
0:8:71;None;None;X=45.602 Y=-9.657 Z=-63.955;P=21.294294 Y=175.311844 R=29.183731;X=11.418 Y=-39.993 Z=-70.238;P=-46.025295 Y=-12.733435 R=-152.057663;X=30.510 Y=-17.788 Z=-5.076;P=-63.417168 Y=-6.224644 R=4.537792;0;0;X=30.815 Y=-18.294 Z=-5.846;X=0.331 Y=-0.054 Z=-0.942
0:8:551;None;None;X=28.047 Y=-10.412 Z=-73.399;P=50.239365 Y=161.708511 R=27.558121;X=11.418 Y=-39.993 Z=-70.238;P=-46.025295 Y=-12.733435 R=-152.057663;X=28.072 Y=-22.626 Z=-5.107;P=-64.007988 Y=-24.889690 R=12.396501;0;0;X=28.167 Y=-23.265 Z=-5.801;X=0.367 Y=-0.244 Z=-0.898
