Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:67;None;None;X=0.853 Y=-216.094 Z=-8.991;P=-21.828547 Y=-146.964401 R=89.494781;X=-25.789 Y=-222.560 Z=1.256;P=29.985813 Y=60.923664 R=-161.122009;X=-22.017 Y=-259.507 Z=15.163;P=-14.759396 Y=58.557423 R=0.718989;0;0;X=-22.451 Y=-258.190 Z=14.833;X=0.557 Y=0.758 Z=-0.339
0:0:567;None;None;X=-10.766 Y=-238.825 Z=-40.127;P=-37.589466 Y=-163.292053 R=52.806427;X=-25.789 Y=-222.560 Z=1.256;P=29.985813 Y=60.923664 R=-161.122009;X=-18.533 Y=-258.097 Z=14.504;P=-19.674583 Y=56.012108 R=0.279402;0;0;X=-18.978 Y=-257.461 Z=14.342;X=0.524 Y=0.736 Z=-0.428
0:1:66;None;None;X=-23.666 Y=-244.272 Z=-60.564;P=4.825044 Y=-145.374634 R=16.700239;X=-25.789 Y=-222.560 Z=1.256;P=29.985813 Y=60.923664 R=-161.122009;X=-17.926 Y=-252.885 Z=10.109;P=-41.818237 Y=61.310410 R=4.134861;0;0;X=-17.967 Y=-252.266 Z=9.897;X=0.317 Y=0.694 Z=-0.647
0:1:566;None;None;X=-23.666 Y=-244.272 Z=-60.564;P=4.825044 Y=-145.374634 R=16.700239;X=-25.789 Y=-222.560 Z=1.256;P=29.985813 Y=60.923664 R=-161.122009;X=-18.596 Y=-252.739 Z=10.125;P=-41.865723 Y=66.732773 R=1.913946;0;0;X=-18.355 Y=-252.160 Z=9.527;X=0.135 Y=0.672 Z=-0.728
0:2:70;None;None;X=-30.977 Y=-234.188 Z=-7.488;P=-35.171017 Y=-106.663887 R=-4.571904;X=-5.091 Y=-246.072 Z=-6.512;P=31.814096 Y=88.767731 R=-170.341812;X=-20.655 Y=-252.087 Z=8.285;P=-47.302204 Y=79.939529 R=-1.331691;0;0;X=-20.405 Y=-251.277 Z=8.030;X=-0.006 Y=0.714 Z=-0.701
0:2:569;None;None;X=-32.062 Y=-235.269 Z=-2.938;P=-50.278172 Y=-106.048203 R=-4.007610;X=-4.226 Y=-243.172 Z=-5.956;P=40.900890 Y=92.282257 R=-166.905670;X=-21.305 Y=-252.191 Z=8.835;P=-45.809048 Y=83.959663 R=-3.753937;0;0;X=-21.501 Y=-251.518 Z=7.734;X=-0.066 Y=0.740 Z=-0.669
0:3:71;None;None;X=-32.062 Y=-235.269 Z=-2.938;P=-50.278172 Y=-106.048203 R=-4.007610;X=-4.226 Y=-243.172 Z=-5.956;P=40.900890 Y=92.282257 R=-166.905670;X=-23.298 Y=-252.190 Z=8.281;P=-47.307644 Y=94.843651 R=-5.907387;0;0;X=-22.031 Y=-251.741 Z=8.038;X=-0.294 Y=0.732 Z=-0.615
0:3:570;None;None;X=-32.062 Y=-235.269 Z=-2.938;P=-50.278172 Y=-106.048203 R=-4.007610;X=-4.226 Y=-243.172 Z=-5.956;P=40.900890 Y=92.282257 R=-166.905670;X=-27.135 Y=-250.677 Z=9.481;P=-38.715206 Y=88.276207 R=1.246652;0;0;X=-27.608 Y=-250.410 Z=8.790;X=0.137 Y=0.718 Z=-0.683
0:4:70;None;None;X=-42.950 Y=-224.808 Z=-37.799;P=9.663426 Y=-107.984924 R=48.208775;X=-11.097 Y=-246.053 Z=-47.132;P=15.877293 Y=96.336472 R=-166.651367;X=-26.680 Y=-248.671 Z=7.543;P=-42.593540 Y=66.503876 R=4.369775;0;0;X=-26.433 Y=-248.331 Z=7.630;X=0.224 Y=0.661 Z=-0.716
0:4:570;None;None;X=-35.898 Y=-222.807 Z=-38.237;P=15.589093 Y=-119.429893 R=37.415421;X=-11.097 Y=-246.053 Z=-47.132;P=15.877293 Y=96.336472 R=-166.651367;X=-25.081 Y=-247.668 Z=8.084;P=-39.799435 Y=51.343552 R=5.278744;0;0;X=-25.205 Y=-247.223 Z=7.762;X=0.508 Y=0.510 Z=-0.694
