Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:4;None;None;X=38.466 Y=-243.495 Z=-24.781;P=-29.768810 Y=-98.486885 R=60.222439;X=65.554 Y=-253.271 Z=-33.870;P=11.321462 Y=106.309830 R=157.899551;X=50.748 Y=-271.162 Z=8.986;P=-31.870350 Y=98.234352 R=0.802016;0;0;X=51.116 Y=-269.252 Z=8.233;X=-0.189 Y=0.744 Z=-0.641
0:0:361;None;None;X=38.669 Y=-250.585 Z=-28.941;P=-26.397854 Y=-97.190208 R=45.050873;X=63.857 Y=-252.436 Z=-37.131;P=3.605595 Y=108.127998 R=160.642426;X=50.608 Y=-268.886 Z=8.269;P=-34.012383 Y=98.039925 R=1.184487;0;0;X=50.606 Y=-268.203 Z=7.868;X=-0.192 Y=0.738 Z=-0.647
0:0:861;None;None;X=43.277 Y=-245.169 Z=-30.748;P=-7.512347 Y=-105.523613 R=-42.253017;X=61.897 Y=-244.826 Z=-32.320;P=11.219548 Y=105.386383 R=123.654312;X=52.699 Y=-266.467 Z=4.140;P=-47.304890 Y=83.649742 R=7.174612;0;0;X=53.773 Y=-266.452 Z=3.667;X=0.142 Y=0.630 Z=-0.764
0:1:361;None;None;X=45.258 Y=-245.151 Z=-41.581;P=4.310156 Y=-106.652763 R=-14.800377;X=66.427 Y=-235.959 Z=-45.131;P=-9.792476 Y=99.149155 R=-176.233795;X=53.731 Y=-254.886 Z=1.901;P=-50.463646 Y=81.808891 R=7.239524;0;0;X=54.545 Y=-256.486 Z=1.769;X=0.157 Y=0.576 Z=-0.803
0:1:862;None;None;X=44.377 Y=-227.093 Z=-49.009;P=16.032202 Y=-118.039978 R=-10.123188;X=68.602 Y=-214.526 Z=-57.026;P=-14.906593 Y=98.059128 R=-115.896965;X=49.466 Y=-232.891 Z=-0.645;P=-56.143318 Y=65.548615 R=14.710801;0;0;X=50.717 Y=-235.090 Z=-0.976;X=0.226 Y=0.376 Z=-0.899
0:2:360;None;None;X=47.751 Y=-221.578 Z=-47.997;P=17.518936 Y=-112.604240 R=-3.443907;X=69.624 Y=-209.566 Z=-64.788;P=-25.617422 Y=100.472214 R=-114.200439;X=57.837 Y=-221.980 Z=-3.584;P=-65.426598 Y=70.826233 R=10.314272;0;0;X=57.308 Y=-222.480 Z=-4.197;X=0.154 Y=0.254 Z=-0.955
0:2:863;None;orange;X=48.269 Y=-214.547 Z=-55.935;P=16.159557 Y=-105.256187 R=42.781124;X=69.823 Y=-209.920 Z=-64.904;P=-22.229445 Y=106.895912 R=-117.997360;X=59.066 Y=-218.197 Z=-5.198;P=-68.835129 Y=76.601585 R=5.137666;0;0;X=59.474 Y=-218.338 Z=-5.409;X=-0.049 Y=0.223 Z=-0.974
0:3:361;None;orange;X=50.578 Y=-204.525 Z=-66.134;P=30.970718 Y=-135.550873 R=82.956917;X=69.491 Y=-210.871 Z=-61.339;P=-18.836493 Y=104.054352 R=-119.881386;X=58.384 Y=-216.206 Z=-7.579;P=-72.571007 Y=75.506790 R=5.190132;0;0;X=58.755 Y=-216.319 Z=-8.142;X=-0.033 Y=0.205 Z=-0.978
0:3:861;banana;None;X=53.717 Y=-204.584 Z=-67.844;P=19.965181 Y=-140.328445 R=75.386604;X=72.659 Y=-212.940 Z=-61.640;P=-21.904921 Y=100.087517 R=-118.330589;X=59.026 Y=-215.692 Z=-8.400;P=-74.174965 Y=81.929413 R=-1.087127;0;0;X=59.535 Y=-215.456 Z=-9.405;X=-0.048 Y=0.211 Z=-0.976
0:4:361;None;None;X=51.274 Y=-205.676 Z=-60.407;P=7.721330 Y=-137.288589 R=74.682907;X=74.283 Y=-213.839 Z=-58.376;P=-19.915874 Y=99.520592 R=-123.298637;X=59.258 Y=-218.185 Z=-7.033;P=-72.868568 Y=72.544266 R=11.328127;0;0;X=59.820 Y=-217.938 Z=-7.607;X=0.173 Y=0.092 Z=-0.981
0:4:863;None;None;X=48.109 Y=-207.973 Z=-59.500;P=5.248392 Y=-132.369186 R=70.979187;X=70.076 Y=-213.453 Z=-67.890;P=-21.726543 Y=104.999657 R=-107.844170;X=58.664 Y=-218.721 Z=-8.150;P=-74.723061 Y=71.164764 R=13.296107;0;0;X=59.474 Y=-218.646 Z=-8.840;X=0.150 Y=0.115 Z=-0.982
