Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:116;None;None;X=15.238 Y=39.450 Z=-25.871;P=-36.432713 Y=145.420563 R=65.203415;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-20.880 Y=41.996 Z=3.208;P=-26.556852 Y=-14.257892 R=-1.210540;0;0;X=-20.117 Y=41.992 Z=2.810;X=0.856 Y=-0.190 Z=-0.482
0:0:617;None;None;X=3.965 Y=45.279 Z=-25.843;P=-50.280602 Y=157.276825 R=32.782249;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-19.951 Y=40.233 Z=3.222;P=-26.532162 Y=-12.331075 R=-0.713196;0;0;X=-19.252 Y=40.404 Z=2.779;X=0.891 Y=-0.115 Z=-0.438
0:1:117;None;None;X=-3.861 Y=53.122 Z=-57.373;P=3.489182 Y=168.932770 R=32.905678;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-19.731 Y=36.515 Z=2.505;P=-28.417145 Y=-8.375529 R=-1.096802;0;0;X=-19.150 Y=36.187 Z=2.169;X=0.879 Y=-0.060 Z=-0.473
0:1:616;None;None;X=-15.158 Y=56.290 Z=-72.325;P=43.669754 Y=177.579056 R=41.078510;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-20.388 Y=30.697 Z=-0.182;P=-37.843105 Y=-10.448868 R=-1.715301;0;0;X=-19.913 Y=30.632 Z=-0.135;X=0.672 Y=-0.317 Z=-0.670
0:2:117;None;None;X=-19.352 Y=54.303 Z=-73.638;P=51.465199 Y=176.872406 R=28.647701;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-19.923 Y=24.342 Z=-4.724;P=-51.686825 Y=-17.251659 R=-2.477662;0;0;X=-19.490 Y=24.915 Z=-4.835;X=0.602 Y=-0.102 Z=-0.792
0:2:602;None;None;X=-18.103 Y=52.617 Z=-72.834;P=51.268246 Y=177.281097 R=44.518429;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-20.323 Y=23.425 Z=-5.329;P=-53.811768 Y=-14.469378 R=-4.289217;0;0;X=-19.687 Y=23.166 Z=-6.008;X=0.588 Y=-0.308 Z=-0.748
0:3:115;None;None;X=-21.020 Y=52.039 Z=-75.307;P=51.270863 Y=177.259445 R=44.459324;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-21.085 Y=21.944 Z=-5.028;P=-52.360584 Y=-18.307775 R=-2.366669;0;0;X=-20.610 Y=21.780 Z=-5.692;X=0.661 Y=-0.290 Z=-0.691
0:3:615;None;None;X=-16.504 Y=47.556 Z=-71.786;P=49.175617 Y=167.317093 R=29.930563;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-19.364 Y=21.810 Z=-9.076;P=-61.161350 Y=-7.955360 R=-7.567541;0;0;X=-19.328 Y=22.266 Z=-9.255;X=0.586 Y=-0.094 Z=-0.805
0:4:115;None;None;X=-8.283 Y=41.995 Z=-67.741;P=37.498756 Y=161.694748 R=37.026283;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-13.877 Y=21.364 Z=-9.556;P=-62.713310 Y=-3.086028 R=-12.516254;0;0;X=-14.554 Y=21.380 Z=-9.990;X=0.566 Y=-0.066 Z=-0.822
0:4:616;None;None;X=16.416 Y=27.663 Z=-70.351;P=27.244217 Y=162.853546 R=33.233055;X=-10.581 Y=42.252 Z=-50.256;P=54.450512 Y=12.209517 R=-141.834885;X=-0.834 Y=22.198 Z=-10.947;P=-65.623688 Y=-7.553813 R=-8.826185;0;0;X=-2.414 Y=21.981 Z=-11.218;X=0.474 Y=-0.067 Z=-0.878
