Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:234;None;None;X=-76.137 Y=-138.496 Z=-38.155;P=-29.443203 Y=-175.543961 R=66.730309;X=-92.283 Y=-171.231 Z=-81.611;P=-35.904686 Y=18.694834 R=-156.142532;X=-101.643 Y=-156.372 Z=-1.157;P=-39.078121 Y=26.374121 R=-2.721833;0;0;X=-100.977 Y=-156.578 Z=-1.870;X=0.656 Y=0.367 Z=-0.660
0:0:750;None;None;X=-95.437 Y=-141.273 Z=-51.128;P=-34.579987 Y=-167.100983 R=24.303396;X=-92.283 Y=-171.231 Z=-81.611;P=-35.904686 Y=18.694834 R=-156.142532;X=-97.689 Y=-158.534 Z=-5.092;P=-55.631310 Y=33.750633 R=-3.321960;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:233;None;None;X=-95.912 Y=-141.168 Z=-62.053;P=-0.182619 Y=-136.640793 R=29.068590;X=-92.283 Y=-171.231 Z=-81.611;P=-35.904686 Y=18.694834 R=-156.142532;X=-89.155 Y=-159.056 Z=-6.343;P=-55.118706 Y=53.172325 R=-12.701865;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:735;None;None;X=-80.734 Y=-133.919 Z=-59.149;P=0.414408 Y=-157.549988 R=31.464220;X=-51.224 Y=-135.768 Z=-71.724;P=-2.705458 Y=48.151306 R=-115.569321;X=-73.903 Y=-142.787 Z=-9.455;P=-60.233360 Y=25.821932 R=0.799702;0;0;X=-75.315 Y=-145.245 Z=-9.726;X=0.432 Y=0.215 Z=-0.876
0:2:234;None;None;X=-77.923 Y=-129.535 Z=-51.432;P=-2.708887 Y=-162.017059 R=21.511305;X=-44.737 Y=-131.783 Z=-89.433;P=-25.386221 Y=55.434616 R=-105.129066;X=-60.576 Y=-134.539 Z=-15.381;P=-68.886490 Y=31.624352 R=-3.863838;0;0;X=-61.761 Y=-134.618 Z=-15.520;X=0.251 Y=0.111 Z=-0.962
0:2:735;None;banana;X=-74.674 Y=-132.294 Z=-56.576;P=1.299081 Y=-149.611938 R=20.465878;X=-46.100 Y=-127.039 Z=-78.197;P=-13.724793 Y=60.336502 R=-121.061302;X=-62.665 Y=-132.730 Z=-12.302;P=-70.205856 Y=46.919926 R=-4.482790;0;0;X=-60.848 Y=-133.687 Z=-13.716;X=0.172 Y=0.179 Z=-0.969
0:3:234;None;banana;X=-82.896 Y=-130.873 Z=-56.591;P=-0.541661 Y=-133.086304 R=22.063177;X=-59.855 Y=-99.078 Z=-76.892;P=-8.459954 Y=88.201874 R=-110.951920;X=-70.939 Y=-122.896 Z=-12.090;P=-64.052887 Y=73.416794 R=-14.214994;0;0;X=-69.844 Y=-124.564 Z=-12.521;X=0.086 Y=0.353 Z=-0.932
0:3:734;None;None;X=-83.927 Y=-130.204 Z=-56.958;P=0.939014 Y=-132.363083 R=20.744036;X=-59.571 Y=-104.466 Z=-84.759;P=-34.950687 Y=80.583061 R=-80.575630;X=-72.033 Y=-119.531 Z=-12.436;P=-66.471855 Y=70.157127 R=-12.531180;0;1;X=-72.038 Y=-118.780 Z=-13.613;X=0.120 Y=0.329 Z=-0.937
0:4:234;None;None;X=-51.274 Y=-127.577 Z=-49.267;P=-19.395565 Y=-167.109634 R=25.225334;X=-74.514 Y=-132.116 Z=-66.903;P=-23.034300 Y=68.863846 R=-116.750275;X=-60.626 Y=-137.246 Z=-9.282;P=-62.389744 Y=16.286083 R=6.017681;0;1;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:750;None;None;X=-12.454 Y=-137.208 Z=-79.047;P=5.501997 Y=178.671951 R=64.433037;X=-57.832 Y=-159.775 Z=-68.102;P=-29.619331 Y=56.571754 R=-171.334366;X=-35.431 Y=-154.173 Z=-17.623;P=-64.297058 Y=20.318930 R=-12.586934;0;1;X=-37.583 Y=-153.595 Z=-16.809;X=0.399 Y=0.199 Z=-0.895
0:5:251;None;None;X=-12.139 Y=-134.892 Z=-85.417;P=13.254118 Y=-177.791656 R=64.911697;X=-54.791 Y=-162.312 Z=-71.045;P=-39.002388 Y=51.133995 R=-178.407898;X=-30.769 Y=-154.430 Z=-19.743;P=-66.747803 Y=27.822508 R=-17.448463;0;1;X=-30.124 Y=-154.416 Z=-20.993;X=0.322 Y=0.251 Z=-0.913
0:5:750;None;None;X=-13.548 Y=-137.292 Z=-76.701;P=5.391505 Y=-179.252869 R=60.230148;X=-54.785 Y=-162.687 Z=-71.672;P=-38.401253 Y=56.253834 R=-172.533920;X=-33.346 Y=-154.739 Z=-18.533;P=-66.153984 Y=17.090979 R=-7.379524;0;1;X=-33.380 Y=-154.803 Z=-18.563;X=0.359 Y=0.132 Z=-0.924
0:6:235;None;None;X=-9.977 Y=-142.619 Z=-84.541;P=10.136014 Y=170.336349 R=64.429596;X=-57.102 Y=-165.469 Z=-73.656;P=-43.098427 Y=54.301628 R=-173.378265;X=-30.748 Y=-156.346 Z=-20.746;P=-68.664574 Y=16.516518 R=-9.158367;0;1;X=-30.496 Y=-156.609 Z=-21.628;X=0.339 Y=0.171 Z=-0.925
0:6:735;orange;None;X=-13.220 Y=-139.942 Z=-74.211;P=3.868332 Y=171.520691 R=62.103436;X=-55.034 Y=-164.663 Z=-72.373;P=-40.535301 Y=55.716328 R=-173.973099;X=-36.372 Y=-155.823 Z=-15.458;P=-62.935158 Y=26.015686 R=-12.858360;0;1;X=-34.561 Y=-156.090 Z=-17.315;X=0.361 Y=0.225 Z=-0.905
0:7:235;orange;None;X=-38.337 Y=-117.448 Z=-65.196;P=-3.022318 Y=-165.588852 R=57.968250;X=-58.130 Y=-155.549 Z=-69.775;P=-34.275261 Y=82.119049 R=-179.129211;X=-51.453 Y=-144.922 Z=-10.858;P=-57.759377 Y=55.692074 R=-14.774619;0;1;X=-48.165 Y=-147.360 Z=-11.905;X=0.314 Y=0.406 Z=-0.858
0:7:736;orange;None;X=-62.811 Y=-94.771 Z=-72.767;P=5.460312 Y=-142.704193 R=61.534351;X=-71.670 Y=-140.940 Z=-75.930;P=-25.077620 Y=82.972137 R=-171.612854;X=-66.628 Y=-124.616 Z=-13.587;P=-64.611252 Y=74.939049 R=-21.984547;0;1;X=-64.733 Y=-126.815 Z=-13.764;X=0.084 Y=0.440 Z=-0.894
0:8:238;None;None;X=-66.221 Y=-91.661 Z=-81.612;P=12.995807 Y=-140.920990 R=71.261833;X=-72.510 Y=-136.561 Z=-70.099;P=-40.584457 Y=81.215279 R=-166.689896;X=-70.347 Y=-116.328 Z=-15.318;P=-69.923119 Y=67.031441 R=-15.506800;1;1;X=-69.522 Y=-116.709 Z=-16.261;X=0.089 Y=0.375 Z=-0.923
0:8:738;None;None;X=-67.085 Y=-96.899 Z=-78.038;P=12.584158 Y=-143.299301 R=75.224449;X=-69.621 Y=-138.827 Z=-69.273;P=-40.446411 Y=79.817902 R=-165.473862;X=-69.213 Y=-122.255 Z=-12.964;P=-68.332886 Y=51.191437 R=-5.173942;1;1;X=-69.952 Y=-119.926 Z=-14.412;X=0.347 Y=0.202 Z=-0.916
0:9:238;None;None;X=-51.867 Y=-104.286 Z=-75.936;P=2.080127 Y=-149.912918 R=74.154480;X=-66.115 Y=-145.341 Z=-65.878;P=-32.643787 Y=67.873375 R=-164.257233;X=-62.596 Y=-132.326 Z=-13.815;P=-68.209747 Y=47.671841 R=-14.180071;1;1;X=-63.175 Y=-132.509 Z=-13.844;X=0.233 Y=0.364 Z=-0.902
0:9:734;None;None;X=-47.155 Y=-102.651 Z=-85.694;P=9.343124 Y=-151.507217 R=67.036148;X=-68.338 Y=-151.754 Z=-67.983;P=-43.356972 Y=61.224064 R=-163.319656;X=-58.107 Y=-127.967 Z=-19.883;P=-72.157158 Y=46.133823 R=-14.413910;1;1;X=-57.868 Y=-128.569 Z=-20.215;X=0.190 Y=0.366 Z=-0.911
0:10:234;baseball;None;X=-50.856 Y=-100.964 Z=-78.166;P=3.906260 Y=-148.902649 R=59.551964;X=-68.338 Y=-151.754 Z=-67.983;P=-43.356972 Y=61.224064 R=-163.319656;X=-60.739 Y=-128.585 Z=-16.432;P=-69.552101 Y=55.940140 R=-19.081299;1;1;X=-59.646 Y=-128.537 Z=-17.889;X=0.189 Y=0.395 Z=-0.899
0:10:734;baseball;None;X=-60.822 Y=-97.061 Z=-73.491;P=0.248475 Y=-143.414001 R=56.499889;X=-31.666 Y=-134.486 Z=-82.937;P=-15.563801 Y=36.095142 R=-96.091820;X=-58.458 Y=-128.894 Z=-18.567;P=-70.386421 Y=10.255242 R=18.091875;1;1;X=-58.465 Y=-129.828 Z=-18.613;X=0.374 Y=-0.026 Z=-0.927
0:11:234;baseball;tennis_ball;X=-67.174 Y=-92.126 Z=-72.907;P=-2.520954 Y=-141.288925 R=57.213360;X=-34.569 Y=-133.999 Z=-84.695;P=-22.914799 Y=31.932844 R=-104.468460;X=-63.887 Y=-120.998 Z=-17.859;P=-64.861656 Y=84.755371 R=-38.808441;1;1;X=-62.732 Y=-121.456 Z=-19.243;X=-0.022 Y=0.469 Z=-0.883
0:11:735;None;None;X=-69.655 Y=-91.217 Z=-82.600;P=7.601255 Y=-139.591812 R=65.035995;X=-53.686 Y=-110.040 Z=-71.334;P=-1.853884 Y=58.250023 R=-124.451874;X=-70.122 Y=-115.907 Z=-17.860;P=-71.890327 Y=61.561447 R=-14.271468;1;2;X=-68.684 Y=-116.716 Z=-18.806;X=0.143 Y=0.281 Z=-0.949
0:12:235;None;None;X=-73.002 Y=-92.642 Z=-74.064;P=0.355341 Y=-146.411484 R=54.251522;X=-64.309 Y=-102.626 Z=-80.145;P=-14.254475 Y=68.982231 R=-126.946518;X=-74.698 Y=-112.702 Z=-18.315;P=-72.476540 Y=62.020943 R=-10.910522;2;2;X=-73.845 Y=-112.856 Z=-19.292;X=0.141 Y=0.261 Z=-0.955
0:12:735;None;None;X=-71.918 Y=-108.710 Z=-70.501;P=-9.611845 Y=-142.524170 R=38.687622;X=-72.337 Y=-128.218 Z=-71.972;P=1.913218 Y=70.845650 R=-117.129326;X=-72.225 Y=-123.553 Z=-13.266;P=-71.338799 Y=14.182710 R=17.986551;2;2;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:13:235;None;None;X=-59.347 Y=-119.211 Z=-84.139;P=28.543694 Y=-120.372353 R=33.942280;X=-63.277 Y=-147.588 Z=-70.389;P=-15.819967 Y=48.565689 R=-136.143021;X=-66.003 Y=-133.543 Z=-14.335;P=-72.818840 Y=35.139526 R=-2.065704;2;2;X=-66.818 Y=-133.498 Z=-14.507;X=0.171 Y=0.217 Z=-0.961
