Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;EyeTrackerPos
1:9:537;None;None;X=-0.211 Y=12.800 Z=-38.791;P=-23.615200 Y=128.148865 R=66.186180;X=-2.692 Y=-19.687 Z=-36.873;P=24.759058 Y=-17.590212 R=-133.573212;X=-19.054 Y=0.122 Z=-1.235;P=-36.071369 Y=-52.215218 R=14.226761;1;X=0.000 Y=0.000 Z=0.000
1:10:37;None;None;X=-0.217 Y=12.797 Z=-38.791;P=-23.606771 Y=128.136230 R=66.142616;X=-10.428 Y=-37.020 Z=-33.509;P=35.109207 Y=-53.283432 R=-132.996140;X=-19.667 Y=-4.517 Z=-2.540;P=-39.202293 Y=-65.291748 R=14.416094;1;X=0.000 Y=0.000 Z=0.000
1:10:537;None;None;X=-5.829 Y=15.342 Z=-60.570;P=14.353293 Y=151.722015 R=64.996704;X=-12.672 Y=-39.044 Z=-37.639;P=18.192673 Y=-58.134579 R=-135.588120;X=-19.533 Y=-2.789 Z=-5.374;P=-47.873283 Y=-50.867847 R=4.974246;1;X=0.000 Y=0.000 Z=0.000
1:11:36;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-14.685 Y=-41.465 Z=-40.518;P=18.698612 Y=-57.438404 R=-133.567322;X=-23.452 Y=-5.550 Z=-0.420;P=-26.810698 Y=-75.587563 R=5.816761;1;X=0.000 Y=0.000 Z=0.000
1:11:538;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-16.987 Y=-41.799 Z=-37.492;P=19.864128 Y=-62.873993 R=-133.686691;X=-23.468 Y=-5.128 Z=-1.619;P=-36.493038 Y=-62.531013 R=-2.179108;1;X=0.000 Y=0.000 Z=0.000
1:12:37;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-23.882 Y=-37.408 Z=-44.650;P=11.373275 Y=-56.806362 R=-124.162590;X=-28.853 Y=0.580 Z=4.667;P=-6.514948 Y=-40.009632 R=-6.327489;1;X=0.000 Y=0.000 Z=0.000
1:12:535;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-19.508 Y=-25.404 Z=-55.006;P=-1.904175 Y=-34.958923 R=-119.578270;X=-34.722 Y=1.347 Z=5.002;P=-8.882319 Y=-42.965313 R=-5.927554;1;X=0.000 Y=0.000 Z=0.000
1:13:37;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-73.657 Y=-28.332 Z=-55.807;P=-1.904113 Y=-34.958893 R=-119.578209;X=-38.503 Y=-3.500 Z=1.839;P=-16.380241 Y=-93.550934 R=4.119451;1;X=0.000 Y=0.000 Z=0.000
1:13:536;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-73.720 Y=-28.311 Z=-55.846;P=-1.904120 Y=-34.958885 R=-119.578194;X=-38.241 Y=-4.730 Z=3.431;P=-9.994506 Y=-95.548370 R=6.227899;1;X=0.000 Y=0.000 Z=0.000
1:14:36;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-32.957 Y=2.418 Z=7.718;P=6.434960 Y=-22.917463 R=-1.433899;1;X=0.000 Y=0.000 Z=0.000
1:14:537;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-33.417 Y=4.747 Z=8.060;P=7.799864 Y=-5.780978 R=0.977694;1;X=0.000 Y=0.000 Z=0.000
1:15:37;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-31.745 Y=7.627 Z=7.449;P=4.733389 Y=12.615359 R=-1.338593;1;X=0.000 Y=0.000 Z=0.000
1:15:538;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-30.941 Y=8.555 Z=7.818;P=7.149063 Y=0.444138 R=5.196408;1;X=0.000 Y=0.000 Z=0.000
1:16:37;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-31.080 Y=10.765 Z=7.093;P=-0.145326 Y=-6.544468 R=4.837630;1;X=0.000 Y=0.000 Z=0.000
1:16:537;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-30.210 Y=5.845 Z=7.702;P=2.757224 Y=-1.877228 R=5.803940;1;X=0.000 Y=0.000 Z=0.000
1:17:37;None;None;X=-4.632 Y=15.446 Z=-60.475;P=14.357706 Y=151.681961 R=64.921272;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-32.939 Y=0.246 Z=7.697;P=1.672051 Y=-7.821420 R=1.608766;1;X=0.000 Y=0.000 Z=0.000
1:17:537;None;None;X=0.329 Y=38.919 Z=-18.091;P=-15.653598 Y=-137.567535 R=-5.745243;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-31.648 Y=1.232 Z=7.058;P=-0.500639 Y=2.968603 R=0.171224;1;X=0.000 Y=0.000 Z=0.000
1:18:37;None;None;X=-1.613 Y=39.088 Z=-22.125;P=-22.072800 Y=-138.123657 R=1.658482;X=-28.697 Y=-35.336 Z=-42.620;P=7.164773 Y=-58.914349 R=173.165070;X=-39.223 Y=-4.983 Z=4.641;P=-8.510832 Y=-95.820404 R=3.037797;1;X=0.000 Y=0.000 Z=0.000
1:18:537;None;None;X=-1.613 Y=39.088 Z=-22.125;P=-22.072800 Y=-138.123657 R=1.658482;X=-54.798 Y=-43.250 Z=-16.645;P=29.939354 Y=-105.621422 R=167.635117;X=-31.484 Y=8.219 Z=6.832;P=2.724979 Y=0.664357 R=4.008847;1;X=0.000 Y=0.000 Z=0.000
1:19:38;None;None;X=-1.613 Y=39.088 Z=-22.125;P=-22.072800 Y=-138.123657 R=1.658482;X=-54.798 Y=-43.250 Z=-16.645;P=29.939354 Y=-105.621422 R=167.635117;X=-29.220 Y=9.001 Z=7.618;P=3.385247 Y=-0.430481 R=1.747746;1;X=0.000 Y=0.000 Z=0.000
1:19:537;None;None;X=-1.613 Y=39.088 Z=-22.125;P=-22.072800 Y=-138.123657 R=1.658482;X=-54.798 Y=-43.250 Z=-16.645;P=29.939354 Y=-105.621422 R=167.635117;X=-30.800 Y=10.121 Z=7.474;P=3.037194 Y=-3.105194 R=3.994775;1;X=0.000 Y=0.000 Z=0.000
1:20:36;None;None;X=-1.613 Y=39.088 Z=-22.125;P=-22.072800 Y=-138.123657 R=1.658482;X=-54.798 Y=-43.250 Z=-16.645;P=29.939354 Y=-105.621422 R=167.635117;X=-31.907 Y=9.571 Z=6.865;P=-3.901943 Y=-0.629181 R=1.350959;1;X=0.000 Y=0.000 Z=0.000
1:20:539;None;None;X=-22.422 Y=6.705 Z=-51.079;P=13.628775 Y=129.075455 R=25.696974;X=-26.881 Y=-26.726 Z=-61.300;P=-25.730982 Y=-27.224054 R=-106.781609;X=-24.191 Y=-3.729 Z=-5.677;P=-52.369743 Y=-40.241322 R=-0.466946;1;X=0.000 Y=0.000 Z=0.000
1:21:37;None;None;X=-20.792 Y=1.251 Z=-49.328;P=8.558527 Y=122.717514 R=30.472830;X=-25.181 Y=-25.960 Z=-60.353;P=-26.766397 Y=-28.986519 R=-115.790909;X=-27.918 Y=-8.272 Z=-2.813;P=-39.320213 Y=-54.004707 R=3.591170;1;X=0.000 Y=0.000 Z=0.000
1:21:537;None;None;X=-28.780 Y=4.555 Z=-47.476;P=13.705696 Y=122.001022 R=43.439583;X=-24.996 Y=-25.302 Z=-50.654;P=0.271951 Y=-21.960377 R=-127.724930;X=-36.835 Y=-0.360 Z=-1.732;P=-38.497894 Y=-4.034699 R=-14.405689;1;X=0.000 Y=0.000 Z=0.000
1:22:38;None;None;X=-41.827 Y=10.108 Z=-49.413;P=14.233274 Y=127.126152 R=32.202160;X=-32.453 Y=-17.805 Z=-52.453;P=-4.742726 Y=-11.057596 R=-142.699524;X=-48.630 Y=6.974 Z=0.554;P=-29.640438 Y=-7.027258 R=3.645504;1;X=0.000 Y=0.000 Z=0.000
1:22:538;None;None;X=-38.052 Y=10.968 Z=-53.410;P=16.954693 Y=134.078690 R=33.773190;X=-4.013 Y=-4.773 Z=-31.936;P=26.076397 Y=-4.904113 R=-142.281708;X=-38.677 Y=6.148 Z=-0.439;P=-32.412571 Y=-11.002612 R=5.722205;1;X=0.000 Y=0.000 Z=0.000
1:23:39;None;None;X=1.077 Y=5.051 Z=-29.971;P=-34.326134 Y=166.167389 R=49.214569;X=-16.499 Y=-4.443 Z=-54.048;P=-2.276154 Y=3.702662 R=-137.149368;X=-30.005 Y=4.295 Z=-1.043;P=-35.250107 Y=-11.479384 R=5.374987;1;X=0.000 Y=0.000 Z=0.000
1:23:538;duplo;None;X=4.479 Y=0.100 Z=-30.644;P=-46.587540 Y=165.931015 R=42.801586;X=-18.495 Y=-5.965 Z=-58.821;P=-3.000550 Y=5.045042 R=-128.406799;X=-26.185 Y=1.596 Z=-2.248;P=-37.814392 Y=-8.674908 R=2.310574;1;X=0.000 Y=0.000 Z=0.000
1:24:37;duplo;None;X=0.246 Y=5.851 Z=-29.388;P=-47.267456 Y=167.675705 R=40.055916;X=-13.923 Y=-5.721 Z=-62.723;P=-3.559976 Y=2.622417 R=-131.289200;X=-27.862 Y=3.652 Z=-1.610;P=-36.390343 Y=2.424782 R=-1.087219;1;X=0.000 Y=0.000 Z=0.000
1:24:538;duplo;None;X=-9.500 Y=27.027 Z=-30.451;P=-45.777298 Y=-174.884766 R=40.102356;X=-19.092 Y=-6.124 Z=-58.559;P=-3.562927 Y=2.681765 R=-131.339279;X=-32.730 Y=11.028 Z=-0.820;P=-34.745781 Y=34.832695 R=-7.589119;1;X=0.000 Y=0.000 Z=0.000
1:25:38;duplo;None;X=-4.140 Y=47.193 Z=-34.426;P=-34.365067 Y=-156.584656 R=57.212009;X=-19.092 Y=-6.124 Z=-58.559;P=-3.562927 Y=2.681765 R=-131.339279;X=-33.568 Y=13.346 Z=-0.787;P=-34.150810 Y=40.666725 R=-6.812352;1;X=0.000 Y=0.000 Z=0.000
1:25:538;duplo;None;X=-3.709 Y=46.627 Z=-35.862;P=-27.642799 Y=-153.800171 R=61.421539;X=-19.092 Y=-6.124 Z=-58.559;P=-3.562927 Y=2.681765 R=-131.339279;X=-32.820 Y=13.488 Z=-0.775;P=-33.507812 Y=37.695820 R=-4.977877;1;X=0.000 Y=0.000 Z=0.000
1:26:37;duplo;None;X=-4.131 Y=45.666 Z=-35.494;P=-29.794827 Y=-152.710556 R=56.293095;X=-19.092 Y=-6.124 Z=-58.559;P=-3.562927 Y=2.681765 R=-131.339279;X=-33.346 Y=13.962 Z=-0.935;P=-33.765774 Y=36.334057 R=-0.261476;1;X=0.000 Y=0.000 Z=0.000
1:26:533;duplo;None;X=-3.884 Y=45.564 Z=-35.135;P=-27.086998 Y=-150.222549 R=44.622868;X=-19.092 Y=-6.124 Z=-58.559;P=-3.562927 Y=2.681765 R=-131.339279;X=-33.706 Y=13.513 Z=-1.501;P=-36.260498 Y=37.507702 R=-0.126526;1;X=0.000 Y=0.000 Z=0.000
1:27:50;None;None;X=-3.396 Y=45.415 Z=-35.633;P=-24.178486 Y=-154.266190 R=42.958401;X=-19.092 Y=-6.124 Z=-58.559;P=-3.562927 Y=2.681765 R=-131.339279;X=-33.688 Y=13.072 Z=-1.550;P=-36.467640 Y=36.997303 R=-0.026092;2;X=0.000 Y=0.000 Z=0.000
