Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:389;None;None;X=-47.311 Y=-196.980 Z=8.316;P=-23.384817 Y=-156.745239 R=78.108223;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-69.043 Y=-223.267 Z=35.484;P=-24.230471 Y=41.381104 R=-2.629029;0;0;X=-68.921 Y=-222.487 Z=35.136;X=0.669 Y=0.629 Z=-0.396
0:0:889;None;None;X=-49.935 Y=-204.363 Z=3.546;P=-46.140728 Y=-157.402054 R=47.279247;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-65.696 Y=-224.532 Z=34.596;P=-28.372406 Y=41.264935 R=-3.308961;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:389;None;None;X=-53.640 Y=-207.835 Z=-3.722;P=-49.151016 Y=-155.942276 R=34.974403;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-58.760 Y=-225.813 Z=30.969;P=-43.384483 Y=40.809559 R=-2.672455;0;0;X=-59.531 Y=-225.064 Z=30.987;X=0.365 Y=0.539 Z=-0.759
0:1:888;None;None;X=-55.830 Y=-203.929 Z=-1.957;P=-53.132664 Y=-138.263260 R=28.873138;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-56.340 Y=-223.355 Z=28.402;P=-53.911396 Y=52.995888 R=-5.776611;0;0;X=-56.259 Y=-223.513 Z=28.217;X=0.203 Y=0.573 Z=-0.794
0:2:387;None;None;X=-56.439 Y=-191.325 Z=-7.293;P=-35.551601 Y=-142.496857 R=54.351574;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-55.078 Y=-212.451 Z=27.093;P=-57.257584 Y=54.272305 R=-7.052128;0;0;X=-54.653 Y=-214.146 Z=26.756;X=0.209 Y=0.646 Z=-0.734
0:2:888;None;None;X=-47.565 Y=-177.215 Z=-22.206;P=-0.335820 Y=-158.705673 R=60.285671;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-52.928 Y=-198.273 Z=26.329;P=-61.385174 Y=48.799591 R=-10.673167;0;0;X=-53.238 Y=-198.840 Z=26.029;X=0.244 Y=0.347 Z=-0.905
0:3:385;None;None;X=-42.000 Y=-174.066 Z=-37.668;P=26.440037 Y=-159.990463 R=62.918026;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-49.629 Y=-193.182 Z=25.387;P=-64.257568 Y=45.266129 R=-8.006420;0;0;X=-49.818 Y=-193.191 Z=24.814;X=0.213 Y=0.290 Z=-0.933
0:3:886;phillips_screwdriver;None;X=-40.017 Y=-173.531 Z=-39.521;P=24.009535 Y=-155.627182 R=67.054832;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-47.230 Y=-193.569 Z=25.646;P=-62.671738 Y=47.644005 R=-6.948003;0;0;X=-46.636 Y=-194.007 Z=24.992;X=0.181 Y=0.266 Z=-0.947
0:4:383;phillips_screwdriver;None;X=-41.425 Y=-171.470 Z=-32.089;P=3.391680 Y=-149.603943 R=57.797005;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-46.687 Y=-195.935 Z=26.682;P=-58.632431 Y=57.446320 R=-10.468884;0;0;X=-46.132 Y=-195.782 Z=25.957;X=0.174 Y=0.326 Z=-0.929
0:4:882;phillips_screwdriver;None;X=-44.054 Y=-165.642 Z=-24.797;P=-7.427523 Y=-141.072250 R=60.813663;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-47.107 Y=-197.396 Z=28.038;P=-52.697987 Y=66.039185 R=-9.639785;0;0;X=-47.161 Y=-196.901 Z=27.384;X=0.154 Y=0.576 Z=-0.803
0:5:381;phillips_screwdriver;None;X=-46.881 Y=-152.167 Z=-22.545;P=-8.602964 Y=-128.928833 R=60.383308;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-48.922 Y=-189.479 Z=28.684;P=-50.763805 Y=68.405739 R=-8.400883;0;0;X=-48.408 Y=-190.707 Z=28.032;X=0.137 Y=0.657 Z=-0.741
0:5:880;phillips_screwdriver;None;X=-47.526 Y=-137.068 Z=-27.092;P=0.998205 Y=-124.539261 R=58.336342;X=-65.345 Y=-218.834 Z=-31.850;P=-28.847118 Y=104.323158 R=-145.747971;X=-50.729 Y=-175.837 Z=28.660;P=-51.872910 Y=63.498470 R=-7.432808;0;0;X=-50.589 Y=-176.536 Z=28.163;X=0.174 Y=0.552 Z=-0.816
