Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:333;None;None;X=123.644 Y=-94.679 Z=-41.606;P=-38.332714 Y=-142.560669 R=21.843342;X=131.899 Y=-119.809 Z=-48.519;P=26.702875 Y=38.181892 R=167.659195;X=122.342 Y=-116.436 Z=-14.160;P=-52.810902 Y=46.955082 R=3.599958;0;0;X=120.892 Y=-115.008 Z=-14.952;X=0.399 Y=0.462 Z=-0.792
0:0:833;None;None;X=114.191 Y=-87.144 Z=-50.508;P=-2.844992 Y=-110.573990 R=-51.750946;X=131.259 Y=-117.130 Z=-50.442;P=15.683125 Y=41.638641 R=164.382462;X=121.045 Y=-114.976 Z=-14.079;P=-50.934834 Y=46.286709 R=6.606298;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:334;None;None;X=111.983 Y=-90.894 Z=-45.998;P=-16.121651 Y=-106.850983 R=-50.838570;X=135.466 Y=-101.953 Z=-48.926;P=5.834607 Y=72.940552 R=156.424042;X=118.600 Y=-115.848 Z=-13.556;P=-48.628197 Y=54.264103 R=7.185663;0;0;X=116.727 Y=-113.632 Z=-14.315;X=0.382 Y=0.595 Z=-0.707
0:1:834;None;None;X=109.072 Y=-92.484 Z=-44.074;P=-21.569906 Y=-104.804840 R=-52.691143;X=142.201 Y=-94.554 Z=-41.067;P=16.760818 Y=66.680840 R=96.223457;X=119.611 Y=-116.961 Z=-13.258;P=-45.490349 Y=47.704514 R=10.706415;0;0;X=120.246 Y=-117.074 Z=-13.556;X=0.346 Y=0.568 Z=-0.746
0:2:334;None;None;X=110.367 Y=-91.992 Z=-44.469;P=-17.835564 Y=-106.148125 R=-51.171421;X=146.715 Y=-92.800 Z=-39.953;P=11.618226 Y=59.483799 R=93.580139;X=119.901 Y=-114.612 Z=-14.512;P=-51.435429 Y=54.802422 R=8.360640;0;0;X=122.000 Y=-115.704 Z=-14.708;X=0.350 Y=0.481 Z=-0.804
0:2:836;None;None;X=110.329 Y=-89.818 Z=-44.984;P=-16.786070 Y=-105.510338 R=-50.551212;X=148.528 Y=-91.238 Z=-39.299;P=11.701630 Y=58.066044 R=95.268951;X=120.944 Y=-113.478 Z=-14.427;P=-50.759636 Y=53.213432 R=7.666671;0;0;X=122.996 Y=-114.382 Z=-14.765;X=0.377 Y=0.546 Z=-0.748
0:3:334;None;None;X=110.036 Y=-89.793 Z=-44.663;P=-17.753048 Y=-104.555084 R=-51.372498;X=149.353 Y=-90.348 Z=-36.959;P=13.380873 Y=57.478947 R=95.440994;X=121.533 Y=-113.643 Z=-14.166;P=-49.183056 Y=49.640549 R=8.481833;0;0;X=123.680 Y=-114.732 Z=-14.526;X=0.428 Y=0.522 Z=-0.738
0:3:833;None;None;X=109.928 Y=-89.460 Z=-45.018;P=-18.453190 Y=-105.423965 R=-51.302814;X=151.166 Y=-90.105 Z=-36.855;P=13.243196 Y=55.794872 R=95.882614;X=121.829 Y=-113.265 Z=-15.086;P=-52.049618 Y=47.944809 R=9.471107;0;0;X=123.896 Y=-114.249 Z=-15.229;X=0.416 Y=0.314 Z=-0.853
0:4:330;None;None;X=107.812 Y=-90.193 Z=-43.877;P=-17.810461 Y=-104.200966 R=-50.268013;X=148.243 Y=-90.592 Z=-39.355;P=13.257438 Y=54.975281 R=97.989822;X=117.252 Y=-112.261 Z=-16.250;P=-56.162403 Y=78.435043 R=-3.158545;0;0;X=119.353 Y=-112.520 Z=-16.890;X=0.018 Y=0.577 Z=-0.816
0:4:830;None;None;X=99.720 Y=-90.770 Z=-45.444;P=-13.794625 Y=-88.842537 R=-51.498222;X=143.167 Y=-85.690 Z=-38.318;P=12.597559 Y=64.528008 R=98.115707;X=114.680 Y=-111.369 Z=-15.313;P=-53.790802 Y=84.633842 R=-3.093726;0;0;X=115.179 Y=-111.310 Z=-16.218;X=-0.019 Y=0.632 Z=-0.775
0:5:330;None;None;X=95.757 Y=-81.570 Z=-47.428;P=-13.687759 Y=-95.212967 R=36.356468;X=142.097 Y=-83.925 Z=-35.779;P=15.287943 Y=66.870430 R=97.619926;X=111.612 Y=-110.999 Z=-13.280;P=-43.840755 Y=100.252838 R=-1.875153;0;0;X=109.230 Y=-110.524 Z=-13.716;X=-0.039 Y=0.703 Z=-0.710
0:5:831;None;None;X=99.775 Y=-75.601 Z=-63.935;P=30.650049 Y=-103.972191 R=56.711975;X=141.854 Y=-84.668 Z=-35.415;P=16.650969 Y=68.411758 R=99.251328;X=113.340 Y=-112.888 Z=-13.520;P=-44.768188 Y=95.674072 R=-2.228603;0;0;X=110.957 Y=-112.181 Z=-14.111;X=-0.046 Y=0.709 Z=-0.704
0:6:331;None;None;X=100.195 Y=-78.371 Z=-66.229;P=37.346539 Y=-105.174294 R=49.754688;X=142.878 Y=-85.406 Z=-35.782;P=16.370993 Y=66.133583 R=99.550812;X=113.572 Y=-113.891 Z=-12.906;P=-41.523979 Y=99.597382 R=-3.751777;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:6:844;None;None;X=99.122 Y=-77.407 Z=-64.467;P=26.392675 Y=-101.484512 R=52.735214;X=143.086 Y=-84.977 Z=-36.087;P=15.137856 Y=70.894051 R=94.613098;X=112.164 Y=-114.824 Z=-9.978;P=-24.714602 Y=115.064911 R=-8.174720;0;0;X=112.045 Y=-113.996 Z=-10.259;X=-0.517 Y=0.850 Z=-0.101
0:7:344;None;None;X=101.822 Y=-75.308 Z=-65.098;P=26.092100 Y=-101.946709 R=53.091541;X=143.086 Y=-84.977 Z=-36.087;P=15.137856 Y=70.894051 R=94.613098;X=117.451 Y=-113.769 Z=-13.342;P=-44.673851 Y=83.466934 R=-8.107185;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:7:843;None;None;X=125.596 Y=-83.784 Z=-64.881;P=11.206380 Y=-136.945358 R=49.635696;X=156.984 Y=-99.944 Z=-40.790;P=12.685505 Y=43.057140 R=98.004211;X=124.056 Y=-110.498 Z=-16.518;P=-57.887211 Y=38.629143 R=5.030133;0;0;X=122.557 Y=-109.017 Z=-16.961;X=0.414 Y=0.301 Z=-0.859
0:8:338;None;None;X=155.383 Y=-84.588 Z=-87.777;P=19.069553 Y=-153.571548 R=53.220234;X=158.594 Y=-102.153 Z=-43.096;P=9.046401 Y=33.816971 R=102.920578;X=131.220 Y=-101.820 Z=-19.130;P=-59.843895 Y=31.010166 R=5.355043;0;0;X=129.322 Y=-101.085 Z=-19.252;X=0.380 Y=0.234 Z=-0.895
0:8:838;None;None;X=156.609 Y=-83.602 Z=-87.342;P=17.580339 Y=-152.859360 R=47.359230;X=160.109 Y=-101.763 Z=-45.362;P=6.523336 Y=28.145931 R=108.233040;X=133.504 Y=-100.651 Z=-19.707;P=-61.704102 Y=28.253201 R=5.515045;0;0;X=133.285 Y=-99.142 Z=-20.711;X=0.314 Y=0.230 Z=-0.921
0:9:339;None;None;X=136.190 Y=-68.829 Z=-60.137;P=-12.263242 Y=-135.285110 R=35.460743;X=157.091 Y=-93.687 Z=-41.945;P=12.124193 Y=41.958012 R=100.630562;X=129.686 Y=-102.725 Z=-18.442;P=-60.645737 Y=49.099884 R=-2.261929;0;0;X=128.929 Y=-100.935 Z=-19.119;X=0.367 Y=0.324 Z=-0.872
0:9:840;None;None;X=152.327 Y=-84.134 Z=-83.391;P=17.587982 Y=-158.542068 R=52.000298;X=159.337 Y=-98.950 Z=-44.514;P=10.915933 Y=38.413155 R=101.265785;X=133.995 Y=-102.548 Z=-20.096;P=-63.103214 Y=35.101433 R=0.668816;0;0;X=133.706 Y=-102.682 Z=-20.546;X=0.355 Y=0.230 Z=-0.906
