Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:297;None;None;X=-28.186 Y=-253.112 Z=-1.763;P=-14.815827 Y=-126.322166 R=73.180717;X=-27.265 Y=-278.235 Z=-3.109;P=10.314063 Y=106.261169 R=-170.965500;X=-32.948 Y=-280.029 Z=29.259;P=-38.590145 Y=68.047897 R=-0.995911;0;0;X=-33.407 Y=-279.849 Z=28.569;X=0.311 Y=0.744 Z=-0.591
0:0:799;None;None;X=-33.961 Y=-272.450 Z=-17.930;P=8.538808 Y=-155.414185 R=36.161098;X=-26.347 Y=-275.306 Z=-6.151;P=10.955793 Y=104.605240 R=-174.702026;X=-32.818 Y=-278.604 Z=26.717;P=-47.672085 Y=63.895302 R=-0.919038;0;0;X=-32.667 Y=-278.464 Z=25.897;X=0.426 Y=0.731 Z=-0.533
0:1:297;None;None;X=-37.472 Y=-269.903 Z=-16.419;P=4.373500 Y=-148.891296 R=25.426998;X=-30.468 Y=-275.025 Z=-8.414;P=2.114551 Y=111.213806 R=-178.157959;X=-36.535 Y=-276.148 Z=26.526;P=-48.412197 Y=75.894440 R=-4.091709;0;0;X=-36.382 Y=-276.078 Z=25.628;X=0.132 Y=0.761 Z=-0.635
0:1:798;None;None;X=-38.125 Y=-267.614 Z=-11.278;P=-4.458365 Y=-147.211960 R=16.976360;X=-30.794 Y=-272.699 Z=-7.851;P=6.816829 Y=108.737579 R=-172.556351;X=-38.191 Y=-275.798 Z=28.935;P=-38.013607 Y=81.589523 R=-6.354801;0;0;X=-38.424 Y=-275.525 Z=28.091;X=0.139 Y=0.810 Z=-0.570
0:2:297;None;None;X=-46.905 Y=-263.709 Z=5.254;P=-32.655064 Y=-134.694016 R=-72.398811;X=-28.516 Y=-273.054 Z=-4.480;P=12.058275 Y=103.965477 R=171.459518;X=-36.167 Y=-276.552 Z=27.134;P=-43.829514 Y=74.975403 R=-3.945890;0;0;X=-36.422 Y=-276.269 Z=26.476;X=0.295 Y=0.732 Z=-0.615
0:2:797;None;None;X=-42.111 Y=-265.904 Z=1.849;P=-32.655064 Y=-134.694031 R=-72.398811;X=-26.635 Y=-273.485 Z=-4.428;P=13.245143 Y=97.791939 R=173.239685;X=-34.578 Y=-277.064 Z=26.346;P=-47.080498 Y=67.183655 R=-0.780764;0;0;X=-35.562 Y=-276.561 Z=25.794;X=0.400 Y=0.653 Z=-0.643
0:3:296;None;None;X=-34.834 Y=-268.589 Z=-0.511;P=-23.879433 Y=-155.990768 R=-50.802242;X=-23.621 Y=-272.882 Z=-4.492;P=9.695057 Y=80.999512 R=170.137878;X=-33.677 Y=-277.154 Z=26.676;P=-46.614002 Y=62.696354 R=-1.259129;0;0;X=-33.347 Y=-277.074 Z=26.038;X=0.404 Y=0.663 Z=-0.630
0:3:796;None;None;X=-35.002 Y=-269.416 Z=-1.302;P=-19.406370 Y=-156.383972 R=-38.633553;X=-24.154 Y=-273.359 Z=-5.208;P=10.143179 Y=84.623573 R=173.878433;X=-33.600 Y=-277.813 Z=25.415;P=-50.407738 Y=64.630836 R=-2.843042;0;0;X=-33.891 Y=-277.430 Z=25.231;X=0.415 Y=0.544 Z=-0.729
0:4:296;None;None;X=-33.317 Y=-270.049 Z=-10.155;P=3.370514 Y=-149.326157 R=-10.811697;X=-24.896 Y=-274.098 Z=-6.035;P=9.491483 Y=85.862450 R=172.452438;X=-34.556 Y=-277.216 Z=24.702;P=-53.616394 Y=62.156590 R=-0.369542;0;0;X=-35.148 Y=-276.873 Z=23.859;X=0.514 Y=0.519 Z=-0.683
0:4:796;None;None;X=-37.365 Y=-268.413 Z=-8.941;P=-3.306385 Y=-147.082672 R=-2.521102;X=-28.259 Y=-273.105 Z=-5.886;P=8.874874 Y=88.035553 R=173.961502;X=-39.748 Y=-276.216 Z=24.174;P=-55.560753 Y=65.476730 R=0.970685;0;0;X=-39.271 Y=-276.232 Z=23.850;X=0.293 Y=0.632 Z=-0.718
