Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:182;None;None;X=-57.967 Y=-200.496 Z=5.278;P=-20.326014 Y=-163.260056 R=73.106438;X=-51.377 Y=-237.501 Z=-26.082;P=7.879080 Y=70.764442 R=-67.358269;X=-82.232 Y=-222.274 Z=35.421;P=-22.672846 Y=31.782497 R=4.908188;0;0;X=-81.583 Y=-222.397 Z=35.087;X=0.668 Y=0.562 Z=-0.489
0:0:705;None;None;X=-60.130 Y=-202.739 Z=5.841;P=-42.431393 Y=-153.717667 R=48.003944;X=-51.377 Y=-237.501 Z=-26.082;P=7.879080 Y=70.764442 R=-67.358269;X=-77.844 Y=-221.280 Z=34.722;P=-25.364344 Y=32.383289 R=5.166750;0;0;X=-77.061 Y=-221.318 Z=34.437;X=0.645 Y=0.520 Z=-0.560
0:1:181;None;None;X=-66.947 Y=-198.700 Z=8.166;P=-75.117104 Y=-135.610260 R=-9.184114;X=-51.377 Y=-237.501 Z=-26.082;P=7.879080 Y=70.764442 R=-67.358269;X=-73.468 Y=-214.846 Z=33.560;P=-34.643219 Y=29.613096 R=3.097640;0;0;X=-73.305 Y=-215.638 Z=33.209;X=0.667 Y=0.268 Z=-0.695
0:1:696;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-45.312 Y=-207.748 Z=-19.323;P=-18.598755 Y=24.412090 R=144.913651;X=-71.938 Y=-208.874 Z=31.529;P=-40.416431 Y=18.850613 R=0.264501;0;0;X=-71.432 Y=-208.681 Z=31.203;X=0.762 Y=0.291 Z=-0.579
0:2:190;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-39.439 Y=-211.427 Z=4.589;P=17.452177 Y=26.108414 R=96.947403;X=-69.201 Y=-210.871 Z=31.767;P=-40.691746 Y=14.886349 R=0.998091;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:692;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-37.102 Y=-209.598 Z=6.920;P=32.191193 Y=32.840824 R=102.731972;X=-65.826 Y=-211.671 Z=31.596;P=-40.670227 Y=15.017138 R=1.549232;0;0;X=-65.805 Y=-211.329 Z=31.051;X=0.650 Y=0.201 Z=-0.733
0:3:191;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-30.585 Y=-209.230 Z=10.178;P=35.093964 Y=29.200638 R=102.075027;X=-63.845 Y=-211.141 Z=31.402;P=-42.695000 Y=15.670975 R=0.918765;0;0;X=-63.439 Y=-211.162 Z=30.866;X=0.627 Y=0.142 Z=-0.766
0:3:691;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-29.455 Y=-209.867 Z=12.673;P=38.869221 Y=26.247929 R=101.124107;X=-63.806 Y=-210.397 Z=31.528;P=-42.347649 Y=15.853786 R=1.487114;0;0;X=-63.218 Y=-210.433 Z=31.062;X=0.750 Y=0.165 Z=-0.641
0:4:186;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-29.493 Y=-209.691 Z=13.171;P=40.245434 Y=26.561115 R=102.646606;X=-63.684 Y=-209.872 Z=31.497;P=-42.344383 Y=15.503140 R=1.605165;0;0;X=-63.264 Y=-209.450 Z=30.991;X=0.724 Y=0.105 Z=-0.681
0:4:687;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-29.477 Y=-209.522 Z=13.070;P=40.207718 Y=26.779867 R=103.259972;X=-63.429 Y=-209.684 Z=31.468;P=-42.133358 Y=15.710286 R=0.829413;0;0;X=-63.122 Y=-209.030 Z=30.982;X=0.725 Y=0.086 Z=-0.684
0:5:186;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-29.285 Y=-209.212 Z=12.974;P=41.119946 Y=26.761909 R=103.458916;X=-63.139 Y=-209.395 Z=31.533;P=-42.088100 Y=15.776230 R=0.260316;0;0;X=-62.676 Y=-209.112 Z=30.985;X=0.713 Y=0.146 Z=-0.685
0:5:685;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-29.059 Y=-208.869 Z=13.033;P=40.056923 Y=26.360674 R=102.647209;X=-63.191 Y=-208.791 Z=31.582;P=-41.756618 Y=15.984527 R=0.618599;0;0;X=-62.582 Y=-209.017 Z=31.047;X=0.698 Y=0.190 Z=-0.691
0:6:186;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-29.164 Y=-208.517 Z=13.162;P=40.952980 Y=26.476488 R=103.019531;X=-63.370 Y=-207.984 Z=31.670;P=-41.209827 Y=15.652382 R=0.753495;0;0;X=-62.855 Y=-207.926 Z=31.116;X=0.702 Y=0.098 Z=-0.706
0:6:685;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-29.225 Y=-207.696 Z=13.004;P=41.353775 Y=26.219690 R=103.316330;X=-63.307 Y=-206.807 Z=31.655;P=-41.206783 Y=15.572248 R=0.785120;0;0;X=-62.817 Y=-206.664 Z=31.103;X=0.700 Y=0.107 Z=-0.706
0:7:186;None;None;X=-71.592 Y=-195.050 Z=13.722;P=-65.980911 Y=-118.811546 R=-48.001492;X=-38.457 Y=-210.787 Z=17.394;P=53.077518 Y=27.293678 R=110.517410;X=-63.173 Y=-204.805 Z=32.076;P=-38.972218 Y=18.427622 R=0.084536;0;0;X=-62.526 Y=-205.523 Z=31.578;X=0.632 Y=0.327 Z=-0.703
0:7:686;None;None;X=-50.940 Y=-183.737 Z=6.303;P=-37.312668 Y=-170.094315 R=3.557421;X=-48.052 Y=-222.299 Z=14.589;P=51.888191 Y=-3.228428 R=94.185677;X=-61.490 Y=-202.727 Z=31.712;P=-40.000244 Y=16.293036 R=-1.310180;0;0;X=-61.659 Y=-201.968 Z=31.348;X=0.644 Y=0.287 Z=-0.709
