Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:349;None;None;X=-116.930 Y=-189.864 Z=3.315;P=-20.005692 Y=-134.486557 R=83.113579;X=-119.671 Y=-212.778 Z=20.337;P=66.414185 Y=92.789291 R=-123.739456;X=-145.619 Y=-232.403 Z=18.788;P=-0.361331 Y=49.168686 R=-0.345581;0;0;X=-145.021 Y=-232.088 Z=18.629;X=0.621 Y=0.768 Z=-0.155
0:0:849;None;None;X=-124.125 Y=-200.047 Z=2.344;P=-25.314354 Y=-147.303711 R=77.326279;X=-119.671 Y=-212.778 Z=20.337;P=66.414185 Y=92.789291 R=-123.739456;X=-145.012 Y=-231.625 Z=19.094;P=1.521097 Y=48.739758 R=-0.721344;0;0;X=-144.433 Y=-231.530 Z=19.009;X=0.656 Y=0.752 Z=-0.068
0:1:350;None;None;X=-127.079 Y=-206.054 Z=-13.240;P=-13.298405 Y=-158.631668 R=70.406784;X=-119.671 Y=-212.778 Z=20.337;P=66.414185 Y=92.789291 R=-123.739456;X=-141.481 Y=-229.865 Z=16.871;P=-10.901275 Y=40.888988 R=-2.238189;0;0;X=-142.206 Y=-229.334 Z=17.117;X=0.711 Y=0.637 Z=-0.298
0:1:850;None;None;X=-128.350 Y=-208.563 Z=-19.932;P=-1.210767 Y=-157.804581 R=57.827576;X=-119.671 Y=-212.778 Z=20.337;P=66.414185 Y=92.789291 R=-123.739456;X=-136.481 Y=-227.251 Z=15.050;P=-20.188166 Y=39.598175 R=-2.023315;0;0;X=-136.651 Y=-227.398 Z=14.960;X=0.661 Y=0.571 Z=-0.486
0:2:349;None;None;X=-127.999 Y=-212.100 Z=-24.050;P=12.814999 Y=-164.024857 R=48.734020;X=-128.775 Y=-224.192 Z=-24.041;P=7.389909 Y=80.274582 R=-174.069901;X=-132.663 Y=-227.589 Z=13.323;P=-28.303251 Y=40.017307 R=-3.160310;0;0;X=-132.342 Y=-227.062 Z=13.174;X=0.632 Y=0.582 Z=-0.512
0:2:847;None;None;X=-123.452 Y=-211.948 Z=-14.820;P=-13.468340 Y=-154.981766 R=-15.311716;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-132.940 Y=-229.053 Z=13.205;P=-28.446589 Y=45.925968 R=-3.267304;0;0;X=-132.449 Y=-228.261 Z=12.765;X=0.425 Y=0.686 Z=-0.590
0:3:348;None;None;X=-113.721 Y=-200.268 Z=-1.992;P=-30.903231 Y=-144.826523 R=-83.871162;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-134.238 Y=-229.533 Z=13.924;P=-24.718439 Y=49.920197 R=-4.251679;0;0;X=-133.647 Y=-229.366 Z=13.517;X=0.571 Y=0.644 Z=-0.509
0:3:849;None;None;X=-115.162 Y=-196.205 Z=2.266;P=-35.737991 Y=-140.361984 R=-77.952408;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-134.469 Y=-229.573 Z=14.611;P=-21.943417 Y=48.023300 R=-3.540833;0;0;X=-133.567 Y=-229.456 Z=14.040;X=0.574 Y=0.599 Z=-0.559
0:4:348;None;None;X=-113.854 Y=-194.259 Z=9.942;P=-40.922512 Y=-140.929886 R=-72.211411;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-134.971 Y=-228.818 Z=14.840;P=-20.349543 Y=48.424927 R=-2.452362;0;0;X=-134.272 Y=-228.709 Z=14.394;X=0.541 Y=0.692 Z=-0.478
0:4:848;None;None;X=-113.405 Y=-195.308 Z=11.016;P=-42.137627 Y=-143.732361 R=-70.783409;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-134.490 Y=-229.011 Z=14.927;P=-19.918764 Y=47.095871 R=-3.213502;0;0;X=-134.171 Y=-228.365 Z=14.586;X=0.629 Y=0.704 Z=-0.330
0:5:348;None;None;X=-113.491 Y=-195.040 Z=10.358;P=-41.650520 Y=-144.491257 R=-68.529701;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-134.560 Y=-228.911 Z=14.850;P=-20.047607 Y=47.250263 R=-3.362947;0;0;X=-133.854 Y=-228.701 Z=14.567;X=0.621 Y=0.700 Z=-0.354
0:5:848;None;None;X=-112.570 Y=-195.583 Z=9.791;P=-41.390949 Y=-145.504578 R=-68.192047;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-133.455 Y=-229.313 Z=14.698;P=-20.286522 Y=45.711369 R=-3.469848;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:6:345;None;None;X=-109.141 Y=-198.047 Z=8.953;P=-40.077606 Y=-147.892319 R=-67.618011;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-130.956 Y=-230.401 Z=14.159;P=-22.477270 Y=40.326439 R=-3.497866;0;0;X=-130.822 Y=-229.857 Z=13.910;X=0.809 Y=0.304 Z=-0.503
0:6:871;None;None;X=-106.331 Y=-201.267 Z=8.661;P=-40.386509 Y=-152.048309 R=-66.407921;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-130.447 Y=-231.979 Z=14.422;P=-20.880215 Y=39.265930 R=-4.723453;0;0;X=-129.695 Y=-231.895 Z=14.042;X=0.633 Y=0.659 Z=-0.405
0:7:350;None;None;X=-102.336 Y=-206.230 Z=7.376;P=-40.476112 Y=-156.155228 R=-65.076607;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-126.572 Y=-235.590 Z=14.077;P=-21.510279 Y=36.095524 R=-5.114077;0;0;X=-126.389 Y=-235.298 Z=13.688;X=0.724 Y=0.428 Z=-0.541
0:7:852;None;None;X=-101.867 Y=-219.578 Z=-15.806;P=-14.149118 Y=-174.300140 R=-0.334002;X=-124.279 Y=-225.451 Z=-18.552;P=11.246323 Y=72.183975 R=-169.057388;X=-120.851 Y=-238.076 Z=13.654;P=-22.873222 Y=31.300333 R=-3.839784;0;0;X=-120.518 Y=-238.338 Z=13.267;X=0.762 Y=0.384 Z=-0.521
0:8:351;None;None;X=-109.995 Y=-224.837 Z=-37.623;P=47.157528 Y=158.364380 R=25.979860;X=-105.154 Y=-237.808 Z=-30.736;P=-2.819987 Y=45.435684 R=-176.482071;X=-111.422 Y=-236.266 Z=12.170;P=-25.319359 Y=26.753803 R=-4.404177;0;0;X=-112.420 Y=-237.224 Z=11.872;X=0.738 Y=0.427 Z=-0.522
0:8:850;None;None;X=-59.858 Y=-209.869 Z=-34.653;P=5.633164 Y=-164.006378 R=13.915726;X=-91.915 Y=-230.156 Z=-32.708;P=5.263453 Y=43.378815 R=179.900299;X=-89.318 Y=-223.453 Z=11.068;P=-26.185236 Y=29.034317 R=-4.474520;0;0;X=-91.892 Y=-224.797 Z=10.926;X=0.671 Y=0.380 Z=-0.637
0:9:352;None;None;X=-40.901 Y=-194.698 Z=-37.936;P=21.043722 Y=-143.673248 R=0.292119;X=-38.712 Y=-202.251 Z=-40.132;P=-13.234611 Y=32.535679 R=-172.370834;X=-66.313 Y=-219.848 Z=10.569;P=-31.574364 Y=38.535053 R=-4.076357;0;0;X=-68.373 Y=-220.322 Z=9.942;X=0.527 Y=0.409 Z=-0.745
0:9:851;None;None;X=-40.052 Y=-192.600 Z=-36.409;P=27.871986 Y=-139.011795 R=-0.044203;X=-35.049 Y=-201.547 Z=-38.231;P=-15.909122 Y=42.083847 R=-175.683716;X=-65.035 Y=-222.578 Z=6.898;P=-47.343254 Y=42.519936 R=-3.163331;0;0;X=-64.190 Y=-222.444 Z=6.794;X=0.498 Y=0.466 Z=-0.731
0:10:348;None;None;X=-33.841 Y=-191.210 Z=-35.672;P=22.664021 Y=-136.396774 R=-5.023417;X=-33.597 Y=-196.231 Z=-37.563;P=-13.026140 Y=47.322140 R=-179.382889;X=-59.363 Y=-219.475 Z=6.913;P=-46.509815 Y=45.569038 R=-4.619414;0;0;X=-60.293 Y=-219.905 Z=6.633;X=0.463 Y=0.460 Z=-0.757
0:10:846;None;None;X=-32.898 Y=-188.943 Z=-44.377;P=34.616299 Y=-134.324371 R=-2.476739;X=-31.718 Y=-193.714 Z=-46.712;P=-24.403328 Y=52.398586 R=176.473083;X=-50.103 Y=-213.444 Z=5.614;P=-43.584129 Y=48.434650 R=-5.301578;0;0;X=-51.079 Y=-214.570 Z=5.243;X=0.390 Y=0.437 Z=-0.810
