Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:414;None;None;X=-113.586 Y=-204.782 Z=-4.145;P=-29.453543 Y=-143.006729 R=81.064377;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-126.219 Y=-238.409 Z=21.818;P=-31.530823 Y=49.650097 R=-2.513458;0;0;X=-126.855 Y=-237.679 Z=21.418;X=0.575 Y=0.474 Z=-0.667
0:0:915;None;None;X=-112.781 Y=-218.876 Z=-21.652;P=-32.289513 Y=-142.428177 R=66.177856;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-117.310 Y=-241.819 Z=18.729;P=-42.847649 Y=40.590862 R=-2.081697;0;0;X=-117.884 Y=-240.998 Z=18.498;X=0.478 Y=0.439 Z=-0.761
0:1:415;None;None;X=-116.859 Y=-221.176 Z=-33.451;P=-9.076522 Y=-134.830734 R=71.068390;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-113.796 Y=-241.657 Z=16.607;P=-49.333672 Y=49.687943 R=-4.553043;0;0;X=-113.408 Y=-242.118 Z=15.991;X=0.347 Y=0.613 Z=-0.710
0:1:916;None;None;X=-111.978 Y=-191.268 Z=-35.665;P=-13.504670 Y=-131.791138 R=72.485214;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-114.394 Y=-224.664 Z=14.948;P=-47.176968 Y=56.538025 R=-7.406226;0;0;X=-113.949 Y=-227.452 Z=14.724;X=0.365 Y=0.560 Z=-0.744
0:2:415;None;None;X=-92.124 Y=-163.416 Z=-51.099;P=0.949021 Y=-160.759903 R=92.124100;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-112.127 Y=-198.167 Z=9.808;P=-46.108334 Y=39.589523 R=-5.814943;0;0;X=-112.135 Y=-199.981 Z=9.944;X=0.387 Y=0.439 Z=-0.811
0:2:914;None;None;X=-84.078 Y=-159.323 Z=-60.042;P=19.094038 Y=-174.919144 R=92.907448;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-108.628 Y=-188.329 Z=2.752;P=-52.308796 Y=30.342827 R=-1.636718;0;0;X=-108.227 Y=-189.025 Z=2.397;X=0.382 Y=0.327 Z=-0.865
0:3:412;spoon;None;X=-86.237 Y=-159.933 Z=-57.572;P=15.542921 Y=-174.166290 R=72.102722;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-109.500 Y=-187.839 Z=2.854;P=-55.023647 Y=33.977039 R=-1.440398;0;0;X=-108.679 Y=-187.839 Z=1.948;X=0.386 Y=0.335 Z=-0.859
0:3:908;None;None;X=-97.423 Y=-151.105 Z=-55.849;P=20.441170 Y=-152.285233 R=64.580719;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-112.242 Y=-186.435 Z=3.753;P=-55.285919 Y=46.812241 R=-4.421391;0;0;X=-111.542 Y=-186.574 Z=2.976;X=0.340 Y=0.428 Z=-0.837
0:4:406;None;None;X=-89.336 Y=-157.954 Z=-61.914;P=17.263432 Y=-166.236282 R=77.174362;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-110.323 Y=-184.195 Z=1.569;P=-55.265976 Y=39.547722 R=1.099074;0;0;X=-110.085 Y=-184.096 Z=0.985;X=0.379 Y=0.291 Z=-0.879
0:4:907;spoon;None;X=-93.225 Y=-156.777 Z=-58.042;P=24.057318 Y=-167.796646 R=54.113880;X=-127.637 Y=-215.928 Z=7.334;P=54.831192 Y=87.951263 R=-139.663101;X=-110.103 Y=-184.505 Z=2.997;P=-55.679165 Y=40.480721 R=0.430202;0;0;X=-109.387 Y=-184.855 Z=2.002;X=0.354 Y=0.319 Z=-0.879
0:5:408;None;None;X=-105.747 Y=-142.713 Z=-53.232;P=23.339096 Y=-148.102219 R=51.660545;X=-111.216 Y=-182.719 Z=-47.459;P=-29.831301 Y=78.686592 R=176.299805;X=-113.711 Y=-176.954 Z=6.997;P=-52.167881 Y=56.008392 R=-6.745610;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:5:907;None;None;X=-112.251 Y=-134.435 Z=-58.300;P=28.137297 Y=-128.392563 R=65.667168;X=-109.600 Y=-195.053 Z=-48.991;P=-47.140106 Y=59.354725 R=-177.673248;X=-114.027 Y=-171.287 Z=5.630;P=-54.171036 Y=59.012505 R=-6.049594;0;0;X=-113.515 Y=-171.344 Z=4.975;X=0.301 Y=0.506 Z=-0.808
0:6:407;spoon;None;X=-112.552 Y=-134.381 Z=-59.735;P=10.114806 Y=-108.956131 R=87.894295;X=-107.451 Y=-196.320 Z=-48.249;P=-45.265118 Y=49.825600 R=-171.567429;X=-113.947 Y=-170.724 Z=4.441;P=-54.009735 Y=60.992943 R=-4.874727;0;0;X=-113.484 Y=-170.480 Z=3.870;X=0.294 Y=0.465 Z=-0.835
0:6:905;None;None;X=-112.738 Y=-137.428 Z=-59.488;P=21.781212 Y=-107.100105 R=87.981567;X=-105.707 Y=-198.308 Z=-46.605;P=-40.882130 Y=50.418560 R=-172.382996;X=-113.779 Y=-172.198 Z=4.577;P=-54.354362 Y=61.647972 R=-6.260199;0;0;X=-112.769 Y=-171.969 Z=3.733;X=0.164 Y=0.539 Z=-0.826
0:7:403;None;None;X=-114.097 Y=-139.902 Z=-59.043;P=18.962421 Y=-110.450447 R=78.684692;X=-105.834 Y=-200.024 Z=-44.953;P=-39.535664 Y=50.686699 R=-170.250336;X=-112.824 Y=-174.967 Z=5.610;P=-53.164967 Y=55.288273 R=-5.666140;0;0;X=-111.936 Y=-174.468 Z=4.337;X=0.285 Y=0.538 Z=-0.793
0:7:904;None;None;X=-117.487 Y=-147.665 Z=-37.371;P=-25.742496 Y=-115.151520 R=63.784306;X=-105.404 Y=-206.271 Z=-41.716;P=-35.458580 Y=44.953770 R=-178.233673;X=-109.219 Y=-189.110 Z=11.177;P=-49.529564 Y=19.663137 R=1.695806;0;0;X=-108.465 Y=-186.921 Z=9.723;X=0.698 Y=0.098 Z=-0.709
0:8:404;None;None;X=-107.526 Y=-188.880 Z=-35.245;P=-25.277115 Y=-131.697617 R=61.028946;X=-101.934 Y=-231.358 Z=-42.237;P=-29.140577 Y=38.264744 R=-176.859344;X=-109.782 Y=-218.958 Z=16.205;P=-41.936142 Y=18.903635 R=1.770676;0;0;X=-109.321 Y=-214.050 Z=15.048;X=0.744 Y=0.133 Z=-0.654
0:8:905;None;None;X=-98.225 Y=-207.610 Z=-31.672;P=-13.609759 Y=-140.509796 R=62.075665;X=-98.724 Y=-247.925 Z=-47.212;P=-29.776598 Y=34.992989 R=-170.221878;X=-107.081 Y=-235.823 Z=16.991;P=-43.909664 Y=28.848190 R=-1.460144;0;0;X=-107.425 Y=-235.420 Z=16.410;X=0.623 Y=0.285 Z=-0.728
0:9:405;None;None;X=-50.027 Y=-200.872 Z=-32.851;P=-16.692400 Y=168.304443 R=79.868828;X=-86.307 Y=-238.353 Z=-47.593;P=-26.612793 Y=32.967804 R=-177.086212;X=-87.549 Y=-226.574 Z=11.408;P=-47.691212 Y=21.423527 R=-6.077763;0;0;X=-90.209 Y=-228.044 Z=11.518;X=0.589 Y=0.289 Z=-0.755
0:9:904;None;None;X=-37.859 Y=-197.507 Z=-56.847;P=36.423100 Y=150.569305 R=93.732117;X=-84.487 Y=-237.428 Z=-50.029;P=-25.526711 Y=24.172754 R=-174.975266;X=-70.688 Y=-218.212 Z=4.036;P=-56.040707 Y=13.151520 R=-6.145514;0;0;X=-71.100 Y=-218.838 Z=3.913;X=0.438 Y=0.199 Z=-0.877
0:10:404;None;None;X=-37.970 Y=-198.775 Z=-59.645;P=38.705868 Y=142.681335 R=94.947502;X=-84.487 Y=-237.428 Z=-50.029;P=-25.526711 Y=24.172754 R=-174.975266;X=-68.636 Y=-216.868 Z=2.638;P=-59.783863 Y=12.040382 R=-5.292971;0;0;X=-68.144 Y=-216.620 Z=1.730;X=0.418 Y=0.189 Z=-0.889
0:10:905;None;None;X=-45.132 Y=-197.834 Z=-46.269;P=30.325403 Y=145.364975 R=74.435493;X=-84.487 Y=-237.428 Z=-50.029;P=-25.526711 Y=24.172754 R=-174.975266;X=-75.660 Y=-218.952 Z=6.284;P=-56.764816 Y=16.484173 R=-3.917239;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:11:404;None;None;X=-56.834 Y=-195.227 Z=-35.577;P=17.335484 Y=165.207947 R=72.223663;X=-84.487 Y=-237.428 Z=-50.029;P=-25.526711 Y=24.172754 R=-174.975266;X=-86.849 Y=-222.651 Z=10.411;P=-50.876797 Y=23.897909 R=-3.181549;0;0;X=-86.039 Y=-222.566 Z=9.667;X=0.521 Y=0.300 Z=-0.799
0:11:904;None;None;X=-45.951 Y=-201.095 Z=-51.427;P=43.020947 Y=-174.620682 R=91.743515;X=-84.487 Y=-237.428 Z=-50.029;P=-25.526711 Y=24.172754 R=-174.975266;X=-80.133 Y=-221.628 Z=7.165;P=-55.640892 Y=16.657484 R=-1.209257;0;0;X=-79.672 Y=-221.331 Z=6.381;X=0.486 Y=0.227 Z=-0.844
0:12:404;None;None;X=-47.997 Y=-196.935 Z=-42.490;P=34.534885 Y=171.048706 R=64.474098;X=-69.844 Y=-217.504 Z=-44.623;P=-23.319098 Y=43.809063 R=148.130447;X=-79.249 Y=-220.066 Z=6.902;P=-51.486252 Y=21.536091 R=-2.007538;0;0;X=-79.822 Y=-220.562 Z=6.672;X=0.521 Y=0.256 Z=-0.814
0:12:904;None;None;X=-51.478 Y=-191.677 Z=-40.868;P=32.388790 Y=168.460876 R=55.941284;X=-60.854 Y=-208.037 Z=-43.246;P=-29.665886 Y=17.726683 R=146.556976;X=-78.139 Y=-215.805 Z=7.157;P=-55.448120 Y=31.102819 R=-4.503940;0;0;X=-77.431 Y=-215.904 Z=6.212;X=0.438 Y=0.303 Z=-0.846
0:13:407;None;None;X=-65.281 Y=-192.503 Z=-36.780;P=27.419390 Y=170.394257 R=23.141964;X=-65.990 Y=-208.789 Z=-36.993;P=-28.784840 Y=19.457333 R=149.650009;X=-85.076 Y=-216.867 Z=9.552;P=-53.746349 Y=38.111599 R=-4.392367;0;0;X=-83.940 Y=-216.442 Z=8.541;X=0.419 Y=0.356 Z=-0.835
0:13:905;None;None;X=-60.546 Y=-189.331 Z=-44.379;P=16.816246 Y=-176.990219 R=76.684959;X=-74.462 Y=-215.011 Z=-43.315;P=-38.382843 Y=29.292627 R=151.994171;X=-84.819 Y=-216.003 Z=9.211;P=-54.304684 Y=34.704662 R=-3.067323;0;0;X=-84.927 Y=-216.340 Z=8.573;X=0.440 Y=0.339 Z=-0.831
0:14:405;None;None;X=-58.744 Y=-184.793 Z=-52.698;P=28.749741 Y=-171.209366 R=71.291748;X=-74.074 Y=-216.324 Z=-44.191;P=-38.319309 Y=33.924423 R=145.680313;X=-82.509 Y=-213.445 Z=7.241;P=-56.281403 Y=34.417759 R=-2.296234;0;0;X=-81.744 Y=-213.470 Z=6.487;X=0.413 Y=0.311 Z=-0.856
