Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:432;None;None;X=-139.489 Y=-149.061 Z=7.421;P=-23.989576 Y=171.471359 R=76.615311;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-172.561 Y=-164.261 Z=46.061;P=-32.663330 Y=17.631264 R=-1.193787;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:0:931;None;None;X=-137.159 Y=-148.101 Z=6.317;P=-22.606565 Y=172.264709 R=77.831055;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-172.486 Y=-164.517 Z=46.199;P=-31.932867 Y=17.122799 R=-1.312195;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:431;None;None;X=-138.921 Y=-151.516 Z=6.765;P=-29.009411 Y=167.022476 R=75.504471;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-172.354 Y=-164.523 Z=46.643;P=-30.224117 Y=17.321602 R=-1.232787;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:932;None;None;X=-144.185 Y=-153.391 Z=6.825;P=-41.047703 Y=162.321426 R=69.939804;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-172.311 Y=-164.341 Z=46.357;P=-30.877768 Y=17.963881 R=-0.963653;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:431;None;None;X=-163.463 Y=-149.530 Z=-36.820;P=32.136837 Y=154.484512 R=69.240776;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-171.695 Y=-164.923 Z=46.367;P=-30.283472 Y=16.857201 R=-0.593567;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:931;None;None;X=-160.517 Y=-152.774 Z=-25.342;P=3.383812 Y=167.388306 R=57.131012;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-171.835 Y=-164.793 Z=46.289;P=-30.199127 Y=16.809666 R=-0.484893;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:431;None;None;X=-160.517 Y=-152.774 Z=-25.342;P=3.383812 Y=167.388306 R=57.131012;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-171.835 Y=-164.793 Z=46.289;P=-30.199127 Y=16.809666 R=-0.484893;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:931;None;None;X=-160.517 Y=-152.774 Z=-25.342;P=3.383812 Y=167.388306 R=57.131012;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-171.835 Y=-164.793 Z=46.289;P=-30.199127 Y=16.809666 R=-0.484893;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:431;None;None;X=-160.517 Y=-152.774 Z=-25.342;P=3.383812 Y=167.388306 R=57.131012;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-171.835 Y=-164.793 Z=46.289;P=-30.199127 Y=16.809666 R=-0.484893;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:932;None;None;X=-160.517 Y=-152.774 Z=-25.342;P=3.383812 Y=167.388306 R=57.131012;X=-178.185 Y=-147.427 Z=-12.355;P=-17.514318 Y=20.121775 R=165.498810;X=-171.835 Y=-164.793 Z=46.289;P=-30.199127 Y=16.809666 R=-0.484893;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
