Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:32;None;None;X=-111.646 Y=-208.089 Z=-0.721;P=-40.367481 Y=-115.609879 R=62.100418;X=-115.974 Y=-241.474 Z=-41.141;P=-1.015000 Y=104.946884 R=155.038696;X=-122.716 Y=-255.105 Z=16.316;P=-4.246581 Y=72.440231 R=-3.957948;0;0;X=-121.768 Y=-254.378 Z=16.164;X=0.176 Y=0.975 Z=-0.133
0:0:531;None;None;X=-113.587 Y=-240.318 Z=-5.998;P=-71.269005 Y=121.712830 R=132.765594;X=-115.974 Y=-241.474 Z=-41.141;P=-1.015000 Y=104.946884 R=155.038696;X=-120.161 Y=-254.271 Z=16.223;P=-5.477142 Y=68.481369 R=-5.957310;0;0;X=-120.274 Y=-253.712 Z=16.279;X=0.349 Y=0.936 Z=-0.044
0:1:31;None;None;X=-113.595 Y=-247.075 Z=-20.731;P=-65.519035 Y=115.962593 R=119.797005;X=-115.974 Y=-241.474 Z=-41.141;P=-1.015000 Y=104.946884 R=155.038696;X=-111.941 Y=-249.955 Z=9.780;P=-34.437191 Y=52.128464 R=-5.797123;0;0;X=-113.229 Y=-249.370 Z=10.272;X=0.467 Y=0.690 Z=-0.553
0:1:536;None;None;X=-109.792 Y=-239.306 Z=-28.740;P=-36.712193 Y=-152.257080 R=22.112482;X=-105.702 Y=-240.560 Z=-29.440;P=11.732707 Y=74.972702 R=-176.989853;X=-105.522 Y=-242.326 Z=7.278;P=-41.753654 Y=42.559624 R=-4.489961;0;0;X=-105.768 Y=-243.389 Z=6.869;X=0.459 Y=0.636 Z=-0.620
0:2:34;None;None;X=-109.375 Y=-237.718 Z=-28.317;P=-34.629108 Y=-152.537491 R=22.559179;X=-105.434 Y=-239.363 Z=-29.623;P=12.314114 Y=74.533791 R=-177.553589;X=-102.877 Y=-230.465 Z=5.541;P=-43.125294 Y=32.860741 R=-5.816193;0;0;X=-102.870 Y=-230.989 Z=5.345;X=0.629 Y=0.331 Z=-0.703
0:2:535;None;None;X=-109.375 Y=-237.718 Z=-28.317;P=-34.629108 Y=-152.537491 R=22.559179;X=-105.434 Y=-239.363 Z=-29.623;P=12.314114 Y=74.533791 R=-177.553589;X=-94.111 Y=-230.766 Z=3.391;P=-49.180725 Y=29.146679 R=-4.997227;0;0;X=-94.753 Y=-230.349 Z=2.914;X=0.483 Y=0.558 Z=-0.675
0:3:34;None;None;X=-109.375 Y=-237.718 Z=-28.317;P=-34.629108 Y=-152.537491 R=22.559179;X=-105.434 Y=-239.363 Z=-29.623;P=12.314114 Y=74.533791 R=-177.553589;X=-87.008 Y=-234.062 Z=3.535;P=-48.464771 Y=54.199471 R=-7.478551;0;0;X=-87.583 Y=-233.109 Z=2.879;X=0.220 Y=0.714 Z=-0.665
0:3:535;None;None;X=-109.375 Y=-237.718 Z=-28.317;P=-34.629108 Y=-152.537491 R=22.559179;X=-105.434 Y=-239.363 Z=-29.623;P=12.314114 Y=74.533791 R=-177.553589;X=-78.069 Y=-238.239 Z=3.953;P=-47.441708 Y=42.550308 R=-5.202578;0;0;X=-78.656 Y=-237.621 Z=3.217;X=0.346 Y=0.661 Z=-0.666
0:4:34;None;None;X=-70.033 Y=-213.181 Z=-26.318;P=-24.484076 Y=-149.797165 R=13.269135;X=-55.862 Y=-225.147 Z=-31.057;P=13.215439 Y=56.938858 R=-167.632782;X=-68.159 Y=-227.983 Z=5.420;P=-41.790939 Y=38.269508 R=-8.142222;0;0;X=-69.395 Y=-229.089 Z=4.626;X=0.548 Y=0.500 Z=-0.671
0:4:535;None;None;X=-35.125 Y=-185.724 Z=-44.080;P=2.635729 Y=-120.132584 R=-8.484438;X=-20.997 Y=-199.468 Z=-50.512;P=-7.641916 Y=22.978729 R=177.034134;X=-46.906 Y=-212.989 Z=-2.930;P=-50.862484 Y=42.242069 R=-8.262948;0;0;X=-48.801 Y=-213.986 Z=-1.985;X=0.400 Y=0.421 Z=-0.814
0:5:35;None;None;X=-28.323 Y=-180.746 Z=-57.649;P=16.690298 Y=-109.730591 R=-8.802753;X=-18.415 Y=-189.531 Z=-59.664;P=-17.676050 Y=31.730616 R=169.762497;X=-37.762 Y=-207.557 Z=-15.724;P=-66.056480 Y=46.651127 R=-9.900190;0;0;X=-37.959 Y=-207.460 Z=-15.590;X=0.299 Y=0.433 Z=-0.850
0:5:536;None;None;X=-26.474 Y=-184.098 Z=-53.178;P=26.288071 Y=-113.037987 R=-28.688692;X=-23.756 Y=-186.681 Z=-52.759;P=-24.354158 Y=42.999622 R=140.006882;X=-39.938 Y=-207.611 Z=-12.021;P=-60.881489 Y=49.846504 R=-8.117289;0;0;X=-38.784 Y=-206.945 Z=-13.923;X=0.334 Y=0.490 Z=-0.805
0:6:36;None;orange;X=-42.394 Y=-182.345 Z=-37.459;P=20.179888 Y=-106.889137 R=-46.437851;X=-37.864 Y=-183.435 Z=-34.403;P=-3.555359 Y=39.237720 R=152.846436;X=-53.945 Y=-207.568 Z=-1.556;P=-51.617096 Y=63.898029 R=-6.980661;0;0;X=-51.772 Y=-207.011 Z=-3.387;X=0.350 Y=0.570 Z=-0.744
0:6:537;None;orange;X=-63.735 Y=-177.353 Z=-30.530;P=14.842793 Y=-90.111488 R=-52.528507;X=-60.276 Y=-177.837 Z=-27.601;P=6.453149 Y=55.024433 R=155.444107;X=-69.544 Y=-207.168 Z=3.088;P=-45.780510 Y=77.140190 R=-4.171233;0;0;X=-67.449 Y=-206.748 Z=2.183;X=0.209 Y=0.696 Z=-0.686
0:7:37;None;orange;X=-88.209 Y=-173.147 Z=-34.461;P=18.879107 Y=-74.163300 R=-45.784451;X=-83.233 Y=-172.755 Z=-33.765;P=-10.056702 Y=69.129539 R=150.343445;X=-82.336 Y=-201.850 Z=3.971;P=-44.349129 Y=92.861092 R=-8.546820;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:7:536;None;orange;X=-96.605 Y=-162.792 Z=-47.033;P=23.058826 Y=-59.443707 R=-32.403553;X=-86.371 Y=-161.285 Z=-47.864;P=-19.890848 Y=71.750618 R=154.128235;X=-84.941 Y=-185.740 Z=-3.711;P=-51.740414 Y=96.427216 R=-9.184305;0;0;X=-84.011 Y=-187.146 Z=-3.197;X=-0.104 Y=0.503 Z=-0.858
0:8:36;None;None;X=-99.393 Y=-158.784 Z=-54.365;P=18.931684 Y=-68.550911 R=-20.875645;X=-87.119 Y=-157.606 Z=-57.188;P=-9.867403 Y=76.433548 R=-167.906586;X=-91.038 Y=-179.677 Z=-8.491;P=-58.898399 Y=89.291718 R=-7.333324;0;1;X=-90.243 Y=-178.930 Z=-9.705;X=-0.017 Y=0.444 Z=-0.896
