Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;EyeTrackerPos
15:22:39;None;None;X=-18.352 Y=-9.123 Z=-47.126;P=-14.154672 Y=139.318665 R=22.741362;X=6.465 Y=-22.594 Z=-11.730;P=39.322731 Y=15.759610 R=-120.357048;X=-39.744 Y=-8.388 Z=3.018;P=-5.292447 Y=-8.072732 R=0.814020;-2;X=0.000 Y=0.000 Z=0.000
15:22:40;None;None;X=-14.672 Y=-7.379 Z=-49.427;P=-5.388144 Y=155.576843 R=2.653356;X=-12.937 Y=-17.659 Z=-40.897;P=16.533934 Y=31.380718 R=-143.570984;X=-38.614 Y=-10.582 Z=0.518;P=-20.040272 Y=-22.557234 R=3.295161;-2;X=0.000 Y=0.000 Z=0.000
15:22:40;None;None;X=-14.204 Y=-6.966 Z=-51.831;P=1.039555 Y=156.909927 R=-5.845552;X=-8.321 Y=-21.177 Z=-43.172;P=3.026696 Y=25.594795 R=-147.898621;X=-32.728 Y=-12.742 Z=-1.249;P=-25.277210 Y=-23.296370 R=2.950599;-2;X=0.000 Y=0.000 Z=0.000
15:22:41;None;None;X=-12.384 Y=-9.533 Z=-50.387;P=0.526273 Y=157.200378 R=-2.622854;X=27.757 Y=-48.221 Z=-22.426;P=14.754847 Y=4.514192 R=-82.695732;X=-18.115 Y=-16.419 Z=-0.154;P=-21.851925 Y=-22.871323 R=4.359614;-2;X=0.000 Y=0.000 Z=0.000
15:22:41;None;GraspingObject_2;X=-12.384 Y=-9.533 Z=-50.387;P=0.526273 Y=157.200378 R=-2.622854;X=37.551 Y=-51.959 Z=-30.031;P=-3.311890 Y=-6.752587 R=-89.800201;X=-11.096 Y=-17.564 Z=0.090;P=-18.494444 Y=-24.583595 R=4.836734;-2;X=0.000 Y=0.000 Z=0.000
15:22:42;None;GraspingObject_2;X=-12.384 Y=-9.533 Z=-50.387;P=0.526273 Y=157.200378 R=-2.622854;X=33.058 Y=-47.485 Z=-21.078;P=10.264312 Y=3.575710 R=-100.067627;X=-12.455 Y=-18.647 Z=-0.756;P=-24.320587 Y=-29.151209 R=6.826779;-2;X=0.000 Y=0.000 Z=0.000
15:22:42;None;GraspingObject_2;X=18.120 Y=-42.648 Z=-31.435;P=-17.958635 Y=132.139465 R=60.713902;X=28.321 Y=-47.371 Z=-17.397;P=14.517833 Y=5.410182 R=-96.675369;X=-14.296 Y=-21.293 Z=-1.116;P=-27.513695 Y=-31.620771 R=7.349829;-2;X=0.000 Y=0.000 Z=0.000
15:22:43;GraspingObject_1;GraspingObject_2;X=20.682 Y=-43.054 Z=-32.184;P=-28.045124 Y=126.420662 R=69.559792;X=27.010 Y=-48.811 Z=-18.327;P=13.099046 Y=7.563533 R=-94.517822;X=-14.599 Y=-22.667 Z=-0.660;P=-26.840628 Y=-28.962580 R=5.462695;-2;X=0.000 Y=0.000 Z=0.000
15:22:43;GraspingObject_1;GraspingObject_2;X=10.572 Y=-27.046 Z=-21.016;P=-44.362617 Y=121.437462 R=59.638859;X=19.422 Y=-42.632 Z=-11.832;P=20.080734 Y=17.062143 R=-93.718185;X=-21.419 Y=-18.577 Z=1.164;P=-18.075254 Y=-22.582165 R=3.360770;-2;X=0.000 Y=0.000 Z=0.000
15:22:44;GraspingObject_1;GraspingObject_2;X=0.389 Y=-3.903 Z=-9.030;P=-49.008636 Y=147.901108 R=41.402805;X=5.521 Y=-25.692 Z=-2.115;P=29.605358 Y=39.270103 R=-77.941780;X=-37.611 Y=-9.676 Z=3.289;P=-2.141237 Y=-0.305969 R=1.659725;-2;X=0.000 Y=0.000 Z=0.000
15:22:44;None;GraspingObject_2;X=-4.627 Y=10.983 Z=0.075;P=-53.279125 Y=167.621536 R=30.921333;X=1.147 Y=-10.866 Z=2.313;P=39.863583 Y=52.529995 R=-85.880386;X=-44.187 Y=-6.299 Z=4.227;P=3.073155 Y=8.947845 R=4.196049;-2;X=0.000 Y=0.000 Z=0.000
15:22:45;GraspingObject_1;GraspingObject_2;X=-4.037 Y=15.954 Z=1.907;P=-54.916527 Y=-175.870102 R=17.788158;X=2.055 Y=-5.936 Z=0.349;P=40.530334 Y=58.275200 R=-83.325317;X=-45.149 Y=-5.578 Z=3.981;P=1.600286 Y=15.374018 R=4.249838;-2;X=0.000 Y=0.000 Z=0.000
15:22:45;None;None;X=-6.047 Y=20.098 Z=-6.873;P=-46.210861 Y=174.056610 R=60.190800;X=0.830 Y=-12.663 Z=1.625;P=40.097061 Y=54.603897 R=-71.234344;X=-42.988 Y=-5.896 Z=4.119;P=1.963898 Y=7.236340 R=4.331817;-2;X=0.000 Y=0.000 Z=0.000
15:22:46;None;None;X=0.599 Y=12.315 Z=-18.788;P=-29.009705 Y=152.128845 R=78.927162;X=5.652 Y=-21.416 Z=3.925;P=44.501019 Y=48.404552 R=-74.363869;X=-34.014 Y=-6.673 Z=9.810;P=14.162478 Y=5.703248 R=3.265922;-2;X=0.000 Y=0.000 Z=0.000
15:22:46;None;None;X=0.339 Y=9.030 Z=-28.390;P=-7.379070 Y=157.751282 R=65.525101;X=2.406 Y=-13.105 Z=-0.082;P=38.642132 Y=63.278748 R=-71.950294;X=-32.752 Y=-8.509 Z=6.596;P=-9.216466 Y=7.848790 R=3.207901;-2;X=0.000 Y=0.000 Z=0.000
15:22:47;None;GraspingObject_2;X=-9.008 Y=6.491 Z=-39.321;P=-5.165440 Y=154.120346 R=58.374371;X=1.392 Y=-8.431 Z=0.131;P=45.551765 Y=62.946228 R=-83.330292;X=-39.689 Y=-5.116 Z=1.772;P=-9.351499 Y=4.700091 R=11.810290;-2;X=0.000 Y=0.000 Z=0.000
15:22:47;None;None;X=-9.327 Y=14.080 Z=-38.514;P=-5.862016 Y=165.804764 R=46.905548;X=0.412 Y=-12.070 Z=2.011;P=47.034267 Y=52.090115 R=-77.118408;X=-41.396 Y=-2.628 Z=1.902;P=-5.488856 Y=4.393827 R=14.896143;-2;X=0.000 Y=0.000 Z=0.000
15:22:48;None;None;X=-7.838 Y=8.249 Z=-40.706;P=3.322914 Y=155.932602 R=54.321800;X=5.716 Y=-24.078 Z=-0.148;P=45.501892 Y=33.469044 R=-83.910522;X=-38.811 Y=-4.100 Z=6.235;P=6.805566 Y=8.928632 R=10.728143;-2;X=0.000 Y=0.000 Z=0.000
15:22:48;None;None;X=-6.149 Y=3.507 Z=-40.407;P=4.504797 Y=152.898743 R=52.550785;X=4.702 Y=-18.747 Z=5.831;P=46.537357 Y=54.589626 R=-83.510437;X=-30.737 Y=-6.509 Z=11.164;P=7.503796 Y=13.483166 R=4.343608;-2;X=0.000 Y=0.000 Z=0.000
15:22:49;None;None;X=-6.149 Y=3.507 Z=-40.407;P=4.504797 Y=152.898743 R=52.550785;X=-2.428 Y=-10.423 Z=7.348;P=44.259357 Y=88.558807 R=-78.284470;X=-29.804 Y=-6.610 Z=10.686;P=1.403535 Y=22.444666 R=1.672314;-2;X=0.000 Y=0.000 Z=0.000
15:22:49;None;None;X=0.411 Y=-19.083 Z=22.455;P=-69.648552 Y=118.611992 R=59.247215;X=-2.374 Y=-13.071 Z=6.614;P=47.941277 Y=69.315063 R=-83.497452;X=-32.544 Y=-7.720 Z=9.501;P=1.633358 Y=10.229162 R=2.404124;-2;X=0.000 Y=0.000 Z=0.000
