Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:132;None;None;X=-123.577 Y=-196.458 Z=-3.640;P=-28.859631 Y=-123.663002 R=86.152115;X=-119.620 Y=-232.354 Z=-35.210;P=4.577873 Y=82.353844 R=173.879883;X=-127.592 Y=-240.110 Z=22.425;P=-20.979061 Y=76.718643 R=-2.712739;0;0;X=-127.683 Y=-239.312 Z=22.025;X=0.177 Y=0.913 Z=-0.369
0:0:633;None;None;X=-122.171 Y=-210.729 Z=-2.541;P=-57.638870 Y=-129.236481 R=73.390991;X=-115.568 Y=-232.850 Z=-27.991;P=59.829174 Y=107.852226 R=-135.843704;X=-123.412 Y=-239.179 Z=22.547;P=-20.747066 Y=71.786667 R=-2.378662;0;0;X=-124.641 Y=-238.111 Z=22.305;X=0.267 Y=0.928 Z=-0.259
0:1:134;None;None;X=-110.749 Y=-219.333 Z=-20.451;P=-36.365566 Y=-138.853210 R=59.412479;X=-110.787 Y=-232.776 Z=-31.761;P=56.176880 Y=92.193161 R=-141.104523;X=-112.283 Y=-239.241 Z=19.664;P=-36.460869 Y=44.108269 R=-2.078490;0;0;X=-112.798 Y=-239.307 Z=19.435;X=0.595 Y=0.431 Z=-0.679
0:1:634;None;None;X=-98.470 Y=-207.698 Z=-23.597;P=-20.948517 Y=-141.601425 R=60.549637;X=-78.950 Y=-233.093 Z=-32.879;P=-1.998841 Y=43.145115 R=-173.691513;X=-100.035 Y=-230.976 Z=17.145;P=-42.372494 Y=34.181023 R=-2.640806;0;0;X=-100.693 Y=-232.989 Z=16.795;X=0.668 Y=0.345 Z=-0.659
0:2:134;None;None;X=-90.395 Y=-195.550 Z=-23.640;P=-21.368450 Y=-138.821320 R=58.819866;X=-58.012 Y=-213.008 Z=-39.592;P=-3.187997 Y=47.341274 R=-154.185150;X=-87.440 Y=-221.506 Z=15.386;P=-46.833885 Y=35.999912 R=-3.597536;0;0;X=-88.354 Y=-221.708 Z=15.069;X=0.479 Y=0.355 Z=-0.803
0:2:634;None;None;X=-91.500 Y=-200.106 Z=-30.246;P=-15.375001 Y=-125.153221 R=64.039986;X=-46.608 Y=-200.485 Z=-53.527;P=-14.047349 Y=59.055836 R=-127.498222;X=-76.806 Y=-220.093 Z=10.338;P=-46.174786 Y=48.977917 R=-2.263794;0;0;X=-77.436 Y=-219.964 Z=10.463;X=0.398 Y=0.368 Z=-0.840
0:3:134;None;None;X=-89.373 Y=-202.761 Z=-35.266;P=-11.838261 Y=-118.185051 R=64.758011;X=-46.444 Y=-193.937 Z=-58.401;P=-8.768405 Y=69.767334 R=-126.769547;X=-71.046 Y=-217.908 Z=5.505;P=-48.614719 Y=56.944839 R=-4.559423;0;0;X=-71.189 Y=-217.876 Z=5.145;X=0.329 Y=0.400 Z=-0.856
0:3:635;None;orange;X=-74.790 Y=-190.228 Z=-33.113;P=-14.539054 Y=-138.867630 R=71.367683;X=-43.849 Y=-198.899 Z=-51.576;P=1.611487 Y=68.939499 R=-134.207169;X=-70.851 Y=-216.316 Z=5.617;P=-50.374783 Y=56.237617 R=-5.747472;0;0;X=-70.534 Y=-216.102 Z=4.877;X=0.344 Y=0.395 Z=-0.852
0:4:133;None;None;X=-50.415 Y=-170.073 Z=-50.173;P=4.809846 Y=-141.660828 R=81.270302;X=-43.652 Y=-201.006 Z=-42.923;P=13.771798 Y=65.881401 R=-138.505188;X=-70.070 Y=-212.900 Z=5.482;P=-40.709953 Y=54.596424 R=-1.268429;0;0;X=-70.012 Y=-212.763 Z=5.135;X=0.370 Y=0.593 Z=-0.716
0:4:633;None;None;X=-49.083 Y=-167.563 Z=-54.985;P=8.626481 Y=-138.271561 R=82.195366;X=-44.039 Y=-202.950 Z=-39.657;P=18.904194 Y=62.288372 R=-140.084320;X=-70.221 Y=-210.915 Z=4.075;P=-39.347862 Y=50.467857 R=1.793504;0;0;X=-69.460 Y=-210.640 Z=3.321;X=0.344 Y=0.564 Z=-0.750
0:5:133;None;None;X=-52.912 Y=-169.441 Z=-46.158;P=-1.107413 Y=-143.897629 R=75.973244;X=-46.561 Y=-199.901 Z=-32.019;P=23.469786 Y=67.679764 R=-141.063187;X=-72.237 Y=-211.814 Z=7.104;P=-40.213230 Y=52.082756 R=0.748004;0;0;X=-71.509 Y=-212.092 Z=6.710;X=0.353 Y=0.570 Z=-0.742
0:5:632;None;None;X=-46.993 Y=-165.638 Z=-55.550;P=9.777763 Y=-144.398148 R=86.121948;X=-45.715 Y=-203.777 Z=-34.960;P=20.198597 Y=59.980148 R=-146.619797;X=-69.462 Y=-208.128 Z=3.569;P=-39.450226 Y=46.517811 R=2.173683;0;0;X=-68.779 Y=-208.032 Z=3.096;X=0.343 Y=0.551 Z=-0.761
0:6:132;None;None;X=-52.741 Y=-167.757 Z=-45.040;P=-3.579490 Y=-145.654526 R=76.852409;X=-48.277 Y=-199.811 Z=-30.383;P=25.103935 Y=67.757027 R=-142.083832;X=-72.240 Y=-211.670 Z=8.079;P=-41.241993 Y=53.460854 R=-0.037538;0;0;X=-71.070 Y=-211.101 Z=6.960;X=0.334 Y=0.565 Z=-0.754
0:6:632;None;None;X=-50.504 Y=-168.896 Z=-54.764;P=13.802275 Y=-142.964005 R=82.720474;X=-47.744 Y=-202.512 Z=-33.191;P=22.710835 Y=66.548927 R=-144.227631;X=-70.130 Y=-210.097 Z=4.897;P=-41.572777 Y=49.289463 R=1.143811;0;0;X=-69.650 Y=-209.835 Z=4.333;X=0.353 Y=0.558 Z=-0.751
0:7:132;None;None;X=-49.659 Y=-167.642 Z=-54.101;P=6.925627 Y=-144.055099 R=83.406418;X=-47.452 Y=-202.448 Z=-33.453;P=23.956820 Y=65.320984 R=-145.947418;X=-70.110 Y=-209.773 Z=4.419;P=-38.538765 Y=48.012920 R=3.084231;0;0;X=-69.404 Y=-209.591 Z=3.822;X=0.332 Y=0.563 Z=-0.757
0:7:632;None;None;X=-47.938 Y=-167.526 Z=-58.112;P=17.617973 Y=-143.383865 R=80.410233;X=-46.721 Y=-203.031 Z=-34.648;P=21.764881 Y=64.602005 R=-144.412018;X=-68.562 Y=-208.503 Z=2.415;P=-38.584747 Y=45.574860 R=4.468238;0;0;X=-67.859 Y=-208.525 Z=2.013;X=0.340 Y=0.557 Z=-0.758
0:8:129;None;None;X=-51.499 Y=-168.127 Z=-47.049;P=-0.119009 Y=-149.117661 R=78.074364;X=-48.687 Y=-200.037 Z=-30.416;P=25.480423 Y=68.170517 R=-144.607574;X=-71.297 Y=-210.053 Z=6.307;P=-40.942463 Y=52.286045 R=1.269274;0;0;X=-70.020 Y=-209.765 Z=5.146;X=0.321 Y=0.579 Z=-0.749
0:8:645;None;None;X=-49.740 Y=-167.476 Z=-57.944;P=27.072819 Y=-142.171112 R=83.378815;X=-48.618 Y=-198.645 Z=-32.783;P=24.367737 Y=67.085510 R=-143.961334;X=-70.078 Y=-206.648 Z=3.750;P=-41.542667 Y=50.663074 R=2.150595;0;0;X=-70.008 Y=-206.897 Z=3.600;X=0.346 Y=0.529 Z=-0.775
0:9:129;None;None;X=-49.126 Y=-166.829 Z=-55.936;P=11.160126 Y=-148.322632 R=78.809830;X=-47.552 Y=-198.348 Z=-34.276;P=21.285839 Y=64.609581 R=-144.522415;X=-69.383 Y=-205.290 Z=3.874;P=-43.690571 Y=50.975792 R=2.425071;0;0;X=-68.455 Y=-205.248 Z=2.990;X=0.308 Y=0.537 Z=-0.785
0:9:631;None;None;X=-55.886 Y=-161.660 Z=-47.295;P=8.965832 Y=-139.894943 R=54.705410;X=-52.268 Y=-189.667 Z=-31.746;P=21.509043 Y=69.955765 R=-145.955978;X=-73.494 Y=-202.674 Z=7.161;P=-45.297932 Y=57.159454 R=0.212656;0;0;X=-72.517 Y=-202.589 Z=6.128;X=0.318 Y=0.539 Z=-0.780
0:10:131;None;None;X=-69.821 Y=-158.203 Z=-42.263;P=10.547102 Y=-143.578262 R=70.014870;X=-54.349 Y=-183.848 Z=-29.028;P=18.858772 Y=71.415092 R=-145.483459;X=-76.407 Y=-200.872 Z=8.989;P=-50.209747 Y=51.397423 R=1.248778;0;0;X=-75.921 Y=-200.510 Z=8.027;X=0.370 Y=0.443 Z=-0.817
0:10:633;None;None;X=-64.666 Y=-182.723 Z=-35.929;P=4.008139 Y=-155.006058 R=52.019646;X=-45.821 Y=-202.389 Z=-40.667;P=-2.514513 Y=52.834103 R=-136.084076;X=-72.378 Y=-208.350 Z=8.747;P=-55.268368 Y=38.845585 R=2.288993;0;0;X=-72.589 Y=-207.344 Z=8.683;X=0.408 Y=0.217 Z=-0.887
0:11:132;None;orange;X=-74.946 Y=-197.171 Z=-40.195;P=4.987827 Y=-138.535767 R=45.663101;X=-46.930 Y=-199.625 Z=-57.991;P=-14.537415 Y=67.488617 R=-122.568848;X=-67.476 Y=-214.750 Z=6.120;P=-58.087090 Y=54.660206 R=-4.559206;0;0;X=-67.678 Y=-213.865 Z=5.412;X=0.308 Y=0.314 Z=-0.898
0:11:645;None;orange;X=-86.168 Y=-201.818 Z=-40.642;P=9.162145 Y=-121.702705 R=37.961536;X=-54.609 Y=-200.656 Z=-49.904;P=-10.140494 Y=73.801147 R=-146.433502;X=-71.502 Y=-216.850 Z=8.801;P=-55.365780 Y=64.347137 R=-4.294465;0;0;X=-69.961 Y=-216.566 Z=7.452;X=0.272 Y=0.360 Z=-0.892
0:12:145;None;orange;X=-100.707 Y=-188.800 Z=-41.501;P=8.442782 Y=-119.884987 R=44.673107;X=-73.063 Y=-184.148 Z=-36.480;P=7.504144 Y=84.398254 R=-146.757996;X=-87.380 Y=-206.164 Z=11.630;P=-51.227409 Y=71.504715 R=-6.152014;0;0;X=-84.785 Y=-208.044 Z=10.498;X=0.193 Y=0.539 Z=-0.820
0:12:629;None;orange;X=-115.123 Y=-177.161 Z=-42.900;P=11.840269 Y=-121.120667 R=49.046234;X=-85.518 Y=-164.899 Z=-43.939;P=-2.072785 Y=85.997169 R=-145.996780;X=-97.994 Y=-190.665 Z=10.445;P=-52.351585 Y=71.043320 R=-6.735179;0;0;X=-96.989 Y=-192.150 Z=10.170;X=0.159 Y=0.506 Z=-0.848
0:13:147;None;orange;X=-118.946 Y=-175.241 Z=-48.693;P=16.761202 Y=-119.526184 R=45.662685;X=-81.219 Y=-157.181 Z=-57.799;P=-16.281914 Y=76.069275 R=-130.257904;X=-98.855 Y=-182.720 Z=5.600;P=-54.664085 Y=67.632355 R=-6.390498;0;0;X=-98.419 Y=-182.752 Z=5.053;X=0.203 Y=0.419 Z=-0.885
0:13:630;None;orange;X=-113.980 Y=-173.610 Z=-46.322;P=14.930820 Y=-125.152649 R=44.659786;X=-82.292 Y=-161.265 Z=-52.591;P=-13.441853 Y=83.496422 R=-127.525665;X=-97.971 Y=-185.077 Z=7.182;P=-53.728905 Y=61.892834 R=-3.827027;0;0;X=-97.505 Y=-184.573 Z=6.256;X=0.232 Y=0.432 Z=-0.872
0:14:130;None;None;X=-115.099 Y=-174.249 Z=-46.574;P=13.629170 Y=-128.487961 R=46.855946;X=-82.102 Y=-158.466 Z=-54.597;P=-23.084297 Y=83.280144 R=-108.190872;X=-100.032 Y=-183.687 Z=6.357;P=-54.839222 Y=64.558220 R=-4.445614;0;1;X=-99.132 Y=-183.844 Z=5.675;X=0.218 Y=0.439 Z=-0.872
0:14:630;None;None;X=-116.826 Y=-175.632 Z=-48.548;P=16.763626 Y=-127.479683 R=44.862465;X=-81.970 Y=-158.975 Z=-57.777;P=-28.169994 Y=82.194489 R=-101.825874;X=-101.768 Y=-182.586 Z=5.500;P=-55.611839 Y=65.038452 R=-2.812379;0;1;X=-101.200 Y=-182.273 Z=4.649;X=0.244 Y=0.427 Z=-0.871
0:15:131;None;None;X=-113.218 Y=-174.305 Z=-47.076;P=15.109874 Y=-129.632385 R=42.294003;X=-78.432 Y=-162.658 Z=-41.492;P=-24.192453 Y=87.014641 R=-107.387520;X=-100.004 Y=-184.886 Z=8.215;P=-54.065968 Y=57.830990 R=-1.637967;0;1;X=-100.360 Y=-183.928 Z=6.858;X=0.238 Y=0.416 Z=-0.877
