Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:364;None;None;X=-4.184 Y=5.727 Z=-31.762;P=-49.597923 Y=126.461044 R=53.950180;X=-18.605 Y=19.616 Z=-69.098;P=-20.453896 Y=50.048599 R=177.392517;X=-26.167 Y=9.355 Z=4.689;P=-19.318239 Y=-13.401724 R=-0.815704;0;0;X=-25.385 Y=9.119 Z=4.253;X=0.899 Y=-0.220 Z=-0.379
0:0:864;None;None;X=-13.780 Y=12.960 Z=-70.337;P=22.672327 Y=120.770882 R=47.268349;X=-15.760 Y=-1.673 Z=-61.307;P=57.459202 Y=21.869280 R=-136.153091;X=-25.008 Y=9.325 Z=3.492;P=-23.983799 Y=-12.850058 R=-1.057465;0;0;X=-24.647 Y=8.710 Z=3.438;X=0.879 Y=-0.223 Z=-0.421
0:1:360;None;None;X=-14.926 Y=22.001 Z=-74.997;P=47.626999 Y=141.532608 R=7.705137;X=-15.971 Y=-2.497 Z=-62.362;P=55.712742 Y=20.066092 R=-138.506073;X=-21.842 Y=7.684 Z=-0.631;P=-40.376984 Y=-9.831283 R=-2.986573;0;0;X=-21.748 Y=7.934 Z=-0.582;X=0.697 Y=-0.144 Z=-0.702
0:1:875;None;None;X=-20.351 Y=24.940 Z=-76.422;P=53.278660 Y=158.936249 R=13.909173;X=-15.971 Y=-2.497 Z=-62.362;P=55.712742 Y=20.066092 R=-138.506073;X=-21.507 Y=5.500 Z=-2.637;P=-46.511776 Y=0.169194 R=-4.057313;0;0;X=-20.771 Y=5.973 Z=-3.461;X=0.634 Y=-0.072 Z=-0.770
0:2:375;None;None;X=-22.981 Y=22.502 Z=-77.155;P=54.541866 Y=162.874329 R=18.573587;X=5.121 Y=-2.350 Z=-23.399;P=29.563946 Y=14.230544 R=109.980194;X=-22.673 Y=1.484 Z=-3.246;P=-46.950180 Y=-10.192915 R=0.135358;0;0;X=-22.330 Y=0.990 Z=-4.110;X=0.702 Y=-0.179 Z=-0.689
0:2:875;None;None;X=-22.981 Y=22.502 Z=-77.155;P=54.541866 Y=162.874329 R=18.573587;X=7.713 Y=-2.366 Z=-24.489;P=29.056648 Y=0.930671 R=101.997597;X=-19.303 Y=6.957 Z=-3.310;P=-47.533012 Y=-7.071235 R=-5.001559;0;0;X=-19.093 Y=6.117 Z=-3.937;X=0.640 Y=-0.053 Z=-0.766
0:3:374;None;None;X=-22.981 Y=22.502 Z=-77.155;P=54.541866 Y=162.874329 R=18.573587;X=8.230 Y=-2.902 Z=-21.976;P=32.130596 Y=-0.809400 R=100.543312;X=-19.588 Y=5.505 Z=-3.416;P=-46.859364 Y=-3.032105 R=-7.155432;0;0;X=-19.001 Y=5.296 Z=-4.035;X=0.688 Y=0.028 Z=-0.725
0:3:875;None;None;X=-22.981 Y=22.502 Z=-77.155;P=54.541866 Y=162.874329 R=18.573587;X=7.543 Y=-3.737 Z=-21.730;P=32.788979 Y=0.949789 R=100.309418;X=-20.303 Y=4.611 Z=-2.922;P=-45.598629 Y=-2.864441 R=-5.491458;0;0;X=-19.770 Y=4.188 Z=-3.606;X=0.682 Y=-0.049 Z=-0.730
0:4:375;None;None;X=-22.981 Y=22.502 Z=-77.155;P=54.541866 Y=162.874329 R=18.573587;X=7.114 Y=-6.482 Z=-20.268;P=32.153511 Y=2.903200 R=98.801353;X=-19.972 Y=-0.330 Z=-3.150;P=-46.015408 Y=-3.567598 R=-2.244049;0;0;X=-19.717 Y=-0.151 Z=-3.670;X=0.657 Y=-0.083 Z=-0.749
0:4:874;None;None;X=-22.981 Y=22.502 Z=-77.155;P=54.541866 Y=162.874329 R=18.573587;X=8.427 Y=-17.463 Z=-28.290;P=26.532135 Y=-0.597804 R=101.923447;X=-11.822 Y=-3.386 Z=-3.254;P=-47.657677 Y=-11.999683 R=-2.560212;0;0;X=-12.688 Y=-3.661 Z=-4.089;X=0.576 Y=-0.253 Z=-0.777
