Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:468;None;None;X=-160.837 Y=29.588 Z=23.210;P=-59.632915 Y=-89.294739 R=81.110229;X=-125.802 Y=20.684 Z=-13.617;P=62.920254 Y=163.529312 R=-120.092270;X=-139.442 Y=-6.416 Z=39.688;P=-12.188745 Y=112.063911 R=-0.444793;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:0:968;None;None;X=-163.390 Y=18.859 Z=15.925;P=-62.025410 Y=-73.317177 R=59.186905;X=-125.802 Y=20.684 Z=-13.617;P=62.920254 Y=163.529312 R=-120.092270;X=-140.301 Y=-8.839 Z=41.490;P=0.956534 Y=114.289001 R=-0.006042;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:465;None;None;X=-165.996 Y=14.769 Z=-5.993;P=-17.846498 Y=-62.133728 R=46.557396;X=-125.802 Y=20.684 Z=-13.617;P=62.920254 Y=163.529312 R=-120.092270;X=-143.849 Y=-8.473 Z=41.103;P=-3.423489 Y=117.551346 R=-0.889587;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:965;None;None;X=-174.417 Y=11.957 Z=-9.433;P=-5.981347 Y=-58.246941 R=40.285748;X=-145.347 Y=28.683 Z=-17.621;P=-8.533494 Y=127.051071 R=-144.995316;X=-148.029 Y=-4.025 Z=40.799;P=-5.946895 Y=109.118019 R=-1.938080;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:467;None;None;X=-173.017 Y=26.360 Z=-8.978;P=-5.756777 Y=-53.691368 R=36.715008;X=-148.216 Y=47.597 Z=-11.800;P=1.540986 Y=135.689987 R=-131.835541;X=-145.697 Y=11.054 Z=40.280;P=-7.575895 Y=125.982819 R=-1.151031;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:965;None;None;X=-175.016 Y=31.488 Z=-8.253;P=-6.742223 Y=-41.567993 R=35.488762;X=-156.272 Y=57.467 Z=-7.591;P=8.846536 Y=150.174988 R=-127.548668;X=-147.209 Y=20.374 Z=40.469;P=-8.414642 Y=135.398819 R=0.379092;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:464;None;None;X=-194.122 Y=38.780 Z=9.667;P=-23.026882 Y=-42.375275 R=13.843184;X=-163.375 Y=56.377 Z=-10.396;P=7.007664 Y=143.984634 R=-130.243561;X=-159.608 Y=17.618 Z=41.076;P=-4.153103 Y=127.609131 R=-0.390533;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:966;None;None;X=-208.670 Y=49.282 Z=38.248;P=-49.770248 Y=-114.347122 R=133.583389;X=-168.500 Y=53.488 Z=-10.603;P=6.087502 Y=131.594177 R=-130.255997;X=-170.383 Y=17.301 Z=41.796;P=-2.959746 Y=118.953011 R=-0.630523;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:462;None;None;X=-204.537 Y=70.230 Z=47.328;P=-0.961636 Y=-129.932938 R=179.462112;X=-167.464 Y=55.333 Z=-14.143;P=8.942794 Y=122.825508 R=-133.545074;X=-170.781 Y=20.721 Z=42.058;P=0.008715 Y=117.801414 R=-2.435425;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:960;knife;None;X=-208.562 Y=67.462 Z=42.357;P=-0.938632 Y=-128.110703 R=169.495026;X=-167.464 Y=55.333 Z=-14.143;P=8.942794 Y=122.825508 R=-133.545074;X=-170.904 Y=21.628 Z=41.630;P=-2.817316 Y=120.691811 R=-2.433258;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
