Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:448;None;None;X=-102.694 Y=-226.958 Z=-13.822;P=-22.847343 Y=-156.501465 R=70.240555;X=-104.610 Y=-240.839 Z=-46.073;P=-18.574909 Y=109.301147 R=-174.386383;X=-114.882 Y=-247.767 Z=12.763;P=-26.366024 Y=44.836487 R=-4.334413;0;0;X=-114.391 Y=-248.099 Z=12.233;X=0.687 Y=0.545 Z=-0.481
0:0:948;None;None;X=-111.211 Y=-240.078 Z=-28.981;P=-28.245810 Y=-169.346329 R=34.624378;X=-104.610 Y=-240.839 Z=-46.073;P=-18.574909 Y=109.301147 R=-174.386383;X=-109.891 Y=-247.451 Z=9.924;P=-38.602375 Y=43.264015 R=-5.155550;0;0;X=-109.409 Y=-246.593 Z=9.622;X=0.576 Y=0.503 Z=-0.644
0:1:447;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-81.016 Y=-228.602 Z=-11.905;P=13.089114 Y=48.612774 R=103.199341;X=-109.880 Y=-252.122 Z=11.590;P=-30.241945 Y=37.418434 R=-3.352174;0;0;X=-108.870 Y=-251.433 Z=10.671;X=0.634 Y=0.526 Z=-0.566
0:1:948;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-87.864 Y=-227.259 Z=-1.858;P=46.144619 Y=56.985847 R=98.940117;X=-111.707 Y=-249.243 Z=12.501;P=-26.011374 Y=46.071415 R=-1.668638;0;0;X=-110.911 Y=-248.782 Z=11.925;X=0.552 Y=0.688 Z=-0.472
0:2:447;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-81.648 Y=-223.821 Z=8.640;P=42.514591 Y=51.639812 R=96.856796;X=-112.930 Y=-249.589 Z=12.897;P=-24.487791 Y=47.111061 R=-1.981080;0;0;X=-112.359 Y=-248.786 Z=12.385;X=0.545 Y=0.666 Z=-0.510
0:2:948;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-81.517 Y=-225.863 Z=8.468;P=43.868687 Y=50.456451 R=97.844421;X=-113.376 Y=-250.420 Z=13.261;P=-22.747608 Y=47.103344 R=-1.913269;0;0;X=-112.756 Y=-249.726 Z=13.010;X=0.629 Y=0.695 Z=-0.349
0:3:448;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-80.577 Y=-226.685 Z=8.558;P=43.961552 Y=50.355400 R=97.846138;X=-112.792 Y=-250.534 Z=13.202;P=-22.935760 Y=47.014271 R=-1.743743;0;0;X=-112.523 Y=-249.609 Z=12.916;X=0.656 Y=0.654 Z=-0.377
0:3:949;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-79.458 Y=-226.391 Z=8.430;P=44.501205 Y=49.851383 R=98.443481;X=-112.078 Y=-250.130 Z=13.127;P=-23.615290 Y=46.764164 R=-1.534669;0;0;X=-111.613 Y=-249.561 Z=12.839;X=0.659 Y=0.629 Z=-0.412
0:4:449;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-76.560 Y=-227.349 Z=7.310;P=42.922352 Y=47.849911 R=97.380234;X=-110.446 Y=-250.331 Z=13.059;P=-24.468285 Y=45.619980 R=-1.659851;0;0;X=-109.603 Y=-249.832 Z=12.639;X=0.601 Y=0.685 Z=-0.411
0:4:949;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-72.347 Y=-233.970 Z=6.602;P=42.227962 Y=46.412209 R=106.531357;X=-108.025 Y=-250.960 Z=12.438;P=-26.529600 Y=38.184452 R=-0.618317;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:5:450;None;None;X=-106.953 Y=-239.257 Z=-23.068;P=-25.251802 Y=-160.565094 R=10.155317;X=-79.950 Y=-253.225 Z=-9.428;P=47.554050 Y=-6.157702 R=143.952560;X=-101.635 Y=-248.505 Z=10.110;P=-35.422783 Y=32.328365 R=-2.364289;0;0;X=-102.347 Y=-248.521 Z=10.190;X=0.629 Y=0.379 Z=-0.678
0:5:950;None;None;X=-96.828 Y=-230.696 Z=-30.027;P=-14.107468 Y=-170.524292 R=9.252702;X=-81.686 Y=-258.407 Z=-15.464;P=44.853096 Y=-7.004320 R=158.095459;X=-97.576 Y=-240.051 Z=8.152;P=-41.326809 Y=28.530804 R=-5.449771;0;0;X=-97.209 Y=-240.915 Z=7.601;X=0.592 Y=0.375 Z=-0.714
0:6:450;None;None;X=-76.896 Y=-222.979 Z=-44.022;P=10.437014 Y=-164.710526 R=3.731945;X=-60.941 Y=-232.242 Z=-43.515;P=8.857259 Y=13.818920 R=-167.852036;X=-88.783 Y=-235.014 Z=7.210;P=-40.113365 Y=28.105959 R=-3.546418;0;0;X=-90.002 Y=-235.605 Z=6.794;X=0.566 Y=0.336 Z=-0.753
0:6:950;None;None;X=-57.913 Y=-215.405 Z=-52.701;P=19.003832 Y=-136.774292 R=17.596867;X=-47.021 Y=-220.613 Z=-50.180;P=-12.825749 Y=33.470875 R=-163.465240;X=-70.804 Y=-232.832 Z=5.851;P=-37.293755 Y=34.367596 R=-3.440644;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:7:437;None;None;X=-63.780 Y=-217.635 Z=-53.471;P=27.613100 Y=-137.661652 R=20.759363;X=-51.105 Y=-223.997 Z=-52.206;P=-18.091326 Y=34.233932 R=-171.527618;X=-72.622 Y=-233.543 Z=1.097;P=-56.990318 Y=31.323820 R=-2.415072;0;0;X=-71.670 Y=-233.855 Z=0.897;X=0.399 Y=0.364 Z=-0.841
0:7:951;None;None;X=-54.496 Y=-212.145 Z=-57.461;P=25.167368 Y=-128.413727 R=3.574666;X=-43.987 Y=-215.712 Z=-55.641;P=-17.514099 Y=42.725479 R=-175.108444;X=-67.847 Y=-229.558 Z=-5.886;P=-57.499535 Y=33.584259 R=-0.756163;0;0;X=-68.216 Y=-229.468 Z=-5.850;X=0.378 Y=0.337 Z=-0.862
0:8:451;None;None;X=-49.674 Y=-210.129 Z=-56.606;P=36.890293 Y=-128.237488 R=-28.071280;X=-46.962 Y=-210.584 Z=-57.281;P=-31.127718 Y=46.183136 R=144.574417;X=-65.804 Y=-228.968 Z=-8.014;P=-55.946560 Y=36.946064 R=-2.304077;0;0;X=-65.465 Y=-228.457 Z=-8.954;X=0.378 Y=0.372 Z=-0.848
0:8:954;None;None;X=-53.326 Y=-211.982 Z=-49.918;P=22.304733 Y=-126.879120 R=-35.145432;X=-48.949 Y=-213.385 Z=-49.398;P=-29.142115 Y=41.854084 R=123.021812;X=-69.681 Y=-228.950 Z=-4.590;P=-53.437370 Y=37.284794 R=0.538230;0;0;X=-68.705 Y=-228.712 Z=-5.868;X=0.384 Y=0.345 Z=-0.856
0:9:452;None;None;X=-61.903 Y=-212.663 Z=-39.645;P=23.644617 Y=-123.370613 R=-52.448330;X=-57.198 Y=-215.296 Z=-38.281;P=-24.139145 Y=41.011578 R=109.436485;X=-78.892 Y=-230.297 Z=1.462;P=-48.716755 Y=42.490463 R=0.159318;0;0;X=-77.323 Y=-229.714 Z=0.006;X=0.436 Y=0.354 Z=-0.828
0:9:952;None;None;X=-67.923 Y=-210.527 Z=-32.603;P=22.528292 Y=-124.366020 R=-61.469925;X=-63.094 Y=-213.854 Z=-31.423;P=-18.279272 Y=33.026493 R=110.396233;X=-91.668 Y=-230.742 Z=5.144;P=-42.246063 Y=44.298729 R=0.113383;0;0;X=-88.747 Y=-230.650 Z=3.746;X=0.535 Y=0.418 Z=-0.734
0:10:454;None;None;X=-80.133 Y=-202.909 Z=-27.379;P=20.658527 Y=-116.734978 R=-58.501072;X=-75.536 Y=-205.781 Z=-25.193;P=-14.003376 Y=36.312416 R=119.393707;X=-102.141 Y=-230.531 Z=8.838;P=-36.525265 Y=56.225002 R=-1.526365;0;0;X=-100.989 Y=-229.998 Z=8.025;X=0.531 Y=0.519 Z=-0.670
0:10:951;None;None;X=-92.920 Y=-189.511 Z=-25.656;P=21.007133 Y=-96.833138 R=-61.653538;X=-87.652 Y=-189.956 Z=-25.020;P=-15.375459 Y=56.112965 R=126.333893;X=-103.938 Y=-224.991 Z=10.090;P=-32.757923 Y=74.048203 R=-1.445436;0;0;X=-103.348 Y=-225.785 Z=9.684;X=0.177 Y=0.807 Z=-0.564
0:11:436;None;None;X=-97.509 Y=-167.367 Z=-29.935;P=23.809280 Y=-87.183685 R=-58.245815;X=-91.061 Y=-168.316 Z=-30.234;P=-23.350128 Y=59.328278 R=120.628662;X=-104.290 Y=-202.169 Z=9.428;P=-34.488857 Y=75.687904 R=-3.241243;0;0;X=-103.539 Y=-204.859 Z=8.640;X=0.248 Y=0.675 Z=-0.695
0:11:937;None;None;X=-98.595 Y=-153.489 Z=-35.229;P=33.408237 Y=-81.972939 R=-55.256847;X=-91.512 Y=-154.181 Z=-35.443;P=-35.696167 Y=49.108639 R=124.218079;X=-103.044 Y=-186.389 Z=6.102;P=-44.694424 Y=75.223282 R=-4.927523;0;0;X=-102.718 Y=-187.622 Z=5.971;X=0.189 Y=0.649 Z=-0.737
0:12:437;None;None;X=-99.287 Y=-148.955 Z=-41.160;P=42.162167 Y=-77.432648 R=-52.558041;X=-91.167 Y=-149.443 Z=-41.734;P=-42.877754 Y=51.328381 R=117.739174;X=-101.527 Y=-178.078 Z=3.419;P=-50.450661 Y=73.329002 R=-5.453614;0;0;X=-100.900 Y=-177.866 Z=2.598;X=0.145 Y=0.529 Z=-0.836
0:12:938;None;None;X=-98.941 Y=-156.214 Z=-40.983;P=46.113907 Y=-80.334511 R=-55.898602;X=-91.703 Y=-157.324 Z=-41.585;P=-47.597950 Y=52.910057 R=113.817551;X=-100.352 Y=-184.515 Z=5.904;P=-44.670494 Y=72.105186 R=-5.003979;0;0;X=-100.385 Y=-183.640 Z=4.678;X=0.126 Y=0.491 Z=-0.862
0:13:437;None;None;X=-98.644 Y=-159.773 Z=-38.384;P=34.845715 Y=-87.710434 R=-61.659256;X=-91.466 Y=-159.686 Z=-37.020;P=-30.690025 Y=70.593010 R=102.848213;X=-99.738 Y=-188.904 Z=2.589;P=-60.372421 Y=78.831329 R=-7.401961;0;0;X=-99.894 Y=-188.311 Z=1.641;X=0.082 Y=0.469 Z=-0.879
0:13:937;None;None;X=-108.426 Y=-158.854 Z=-44.955;P=12.216872 Y=-91.375664 R=-9.278778;X=-85.187 Y=-164.119 Z=-46.467;P=-18.747829 Y=74.754463 R=168.072128;X=-98.766 Y=-184.319 Z=-1.985;P=-66.628151 Y=80.323921 R=-9.072117;0;0;X=-99.138 Y=-184.594 Z=-1.148;X=0.028 Y=0.249 Z=-0.968
0:14:436;None;orange;X=-105.863 Y=-169.633 Z=-60.790;P=34.587601 Y=-82.414413 R=-17.714914;X=-90.990 Y=-172.272 Z=-60.881;P=-32.243095 Y=63.153545 R=169.021790;X=-98.395 Y=-181.358 Z=-8.080;P=-73.527077 Y=75.538666 R=-6.033453;0;0;X=-98.259 Y=-181.529 Z=-8.093;X=0.025 Y=0.244 Z=-0.970
0:14:937;None;orange;X=-97.679 Y=-165.755 Z=-53.720;P=34.657757 Y=-90.209206 R=-43.997112;X=-95.288 Y=-167.120 Z=-55.683;P=-43.581234 Y=72.859398 R=118.498230;X=-98.127 Y=-179.600 Z=-7.687;P=-71.968651 Y=76.031403 R=-6.099210;0;0;X=-98.306 Y=-179.390 Z=-9.010;X=-0.005 Y=0.269 Z=-0.963
0:15:436;None;None;X=-95.403 Y=-153.021 Z=-40.254;P=33.835159 Y=-91.418617 R=-64.764793;X=-91.269 Y=-153.763 Z=-40.558;P=-29.474417 Y=61.094112 R=119.778831;X=-98.466 Y=-179.376 Z=-2.570;P=-63.422020 Y=78.305710 R=-5.923550;0;0;X=-98.414 Y=-179.192 Z=-3.421;X=0.105 Y=0.485 Z=-0.868
