Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:230;None;None;X=-85.349 Y=-245.234 Z=-17.511;P=1.990378 Y=-154.991898 R=63.630592;X=-98.119 Y=-268.870 Z=-24.590;P=56.046513 Y=75.424774 R=-146.831085;X=-107.392 Y=-271.966 Z=10.992;P=-24.668545 Y=48.276596 R=-6.397954;0;1;X=-107.048 Y=-271.437 Z=10.432;X=0.615 Y=0.635 Z=-0.468
0:0:730;None;None;X=-101.433 Y=-267.252 Z=-13.890;P=-68.943886 Y=147.490707 R=78.505692;X=-98.119 Y=-268.870 Z=-24.590;P=56.046513 Y=75.424774 R=-146.831085;X=-101.716 Y=-270.547 Z=9.370;P=-29.187677 Y=37.880753 R=-6.012393;0;1;X=-101.941 Y=-270.308 Z=9.203;X=0.741 Y=0.479 Z=-0.471
0:1:229;None;None;X=-101.433 Y=-267.252 Z=-13.890;P=-68.943886 Y=147.490707 R=78.505692;X=-91.674 Y=-259.137 Z=-31.433;P=0.719253 Y=76.600510 R=-176.570633;X=-92.051 Y=-257.665 Z=7.831;P=-34.792412 Y=37.955032 R=-6.787206;0;1;X=-92.664 Y=-258.979 Z=7.708;X=0.684 Y=0.512 Z=-0.520
0:1:730;None;None;X=-81.475 Y=-238.876 Z=-25.909;P=-38.819538 Y=176.507217 R=23.973967;X=-76.258 Y=-248.366 Z=-31.166;P=7.709985 Y=64.186249 R=-173.133636;X=-78.464 Y=-244.408 Z=8.197;P=-35.822689 Y=35.050892 R=-9.439893;0;1;X=-80.019 Y=-244.380 Z=7.611;X=0.617 Y=0.556 Z=-0.557
0:2:229;None;None;X=-57.578 Y=-242.349 Z=-21.834;P=-43.002010 Y=-174.188522 R=11.619107;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-58.455 Y=-247.591 Z=7.803;P=-37.052818 Y=43.409084 R=-5.983371;0;1;X=-59.446 Y=-247.763 Z=7.454;X=0.490 Y=0.612 Z=-0.621
0:2:729;None;None;X=-37.334 Y=-219.983 Z=-36.669;P=31.266193 Y=-147.013382 R=-40.554661;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-46.435 Y=-239.419 Z=4.788;P=-48.245811 Y=57.879539 R=-10.287369;0;1;X=-47.035 Y=-240.996 Z=4.209;X=0.396 Y=0.560 Z=-0.728
0:3:230;None;None;X=-20.356 Y=-199.586 Z=-53.892;P=55.723057 Y=-118.525482 R=-35.039902;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-37.204 Y=-225.516 Z=1.306;P=-54.833519 Y=48.872055 R=-9.600504;0;1;X=-37.212 Y=-226.198 Z=0.796;X=0.349 Y=0.459 Z=-0.817
0:3:730;lego_duplo;None;X=-14.983 Y=-194.862 Z=-57.782;P=55.448517 Y=-118.607742 R=-36.342400;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-34.327 Y=-219.320 Z=-1.572;P=-56.610775 Y=42.270958 R=-5.492801;0;1;X=-34.505 Y=-219.545 Z=-1.938;X=0.326 Y=0.400 Z=-0.856
0:4:230;plate;None;X=-12.482 Y=-192.472 Z=-58.566;P=55.448532 Y=-118.607811 R=-36.342472;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-33.404 Y=-218.695 Z=-1.851;P=-56.166561 Y=43.620220 R=-7.206610;0;1;X=-32.836 Y=-217.909 Z=-3.062;X=0.316 Y=0.404 Z=-0.858
0:4:729;None;None;X=-25.183 Y=-196.042 Z=-44.788;P=43.965992 Y=-119.462624 R=-29.554735;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-40.839 Y=-224.729 Z=2.957;P=-49.714931 Y=54.587566 R=-10.927876;0;1;X=-39.457 Y=-223.124 Z=1.590;X=0.315 Y=0.535 Z=-0.784
0:5:230;None;None;X=-34.444 Y=-203.466 Z=-38.179;P=36.290665 Y=-129.397842 R=-43.668316;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-47.420 Y=-232.070 Z=5.299;P=-44.720581 Y=57.298058 R=-10.190144;0;1;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:5:730;None;None;X=-20.476 Y=-196.131 Z=-50.470;P=58.216362 Y=-138.873672 R=-65.937180;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-41.070 Y=-222.856 Z=2.544;P=-49.426960 Y=45.170971 R=-7.751623;0;1;X=-42.054 Y=-222.673 Z=2.265;X=0.372 Y=0.424 Z=-0.826
0:6:230;plate;None;X=-17.551 Y=-193.481 Z=-55.233;P=63.693039 Y=-134.755096 R=-56.922409;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-39.325 Y=-219.518 Z=-1.561;P=-60.286045 Y=41.479622 R=-9.734264;0;1;X=-39.297 Y=-218.298 Z=-2.164;X=0.349 Y=0.414 Z=-0.841
0:6:730;None;None;X=-21.300 Y=-193.768 Z=-42.154;P=42.416599 Y=-129.253632 R=-74.295906;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-39.804 Y=-220.233 Z=-1.202;P=-59.775764 Y=44.462467 R=-10.973346;0;1;X=-39.652 Y=-219.520 Z=-2.160;X=0.356 Y=0.413 Z=-0.838
0:7:230;None;None;X=-33.550 Y=-191.154 Z=-37.547;P=34.135231 Y=-124.859871 R=-60.992741;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-44.441 Y=-222.055 Z=2.942;P=-50.456505 Y=49.402531 R=-13.361624;0;1;X=-43.445 Y=-221.191 Z=1.750;X=0.429 Y=0.543 Z=-0.722
0:7:729;None;None;X=-38.740 Y=-202.640 Z=-37.998;P=34.292088 Y=-134.864563 R=-45.245842;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-53.299 Y=-234.208 Z=8.512;P=-29.307274 Y=49.041603 R=-10.398026;0;1;X=-51.973 Y=-231.438 Z=6.034;X=0.290 Y=0.722 Z=-0.629
0:8:230;None;None;X=-47.579 Y=-214.990 Z=-39.117;P=39.961353 Y=-136.386688 R=-39.849941;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-56.654 Y=-241.649 Z=7.561;P=-37.564022 Y=44.042328 R=-10.021137;0;1;X=-56.415 Y=-241.030 Z=6.951;X=0.541 Y=0.691 Z=-0.480
0:8:730;None;None;X=-34.608 Y=-197.991 Z=-32.509;P=22.398613 Y=-135.566086 R=-22.712997;X=-73.650 Y=-249.201 Z=-30.904;P=11.089009 Y=61.874973 R=-173.453125;X=-45.089 Y=-232.423 Z=8.605;P=-31.393946 Y=44.246529 R=-10.838607;0;1;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
