Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:242;None;None;X=-131.288 Y=-140.532 Z=-29.800;P=-32.821087 Y=-124.535408 R=61.758472;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.793 Y=-177.436 Z=-3.381;P=-17.005709 Y=59.788181 R=-2.598754;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:0:743;None;None;X=-136.937 Y=-149.915 Z=-27.784;P=-45.147633 Y=-130.750732 R=57.259041;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.100 Y=-177.358 Z=-3.647;P=-16.290827 Y=54.436428 R=-2.883790;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:242;None;None;X=-136.159 Y=-151.383 Z=-32.219;P=-36.543549 Y=-131.808044 R=54.136467;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-144.644 Y=-179.496 Z=-3.331;P=-16.150568 Y=44.500439 R=-2.562439;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:742;None;None;X=-116.237 Y=-136.089 Z=-15.363;P=-42.642498 Y=-132.927261 R=21.639101;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.829 Y=-179.857 Z=-3.470;P=-15.624228 Y=49.165630 R=-2.332001;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:243;None;None;X=-128.782 Y=-152.375 Z=-15.329;P=-43.354244 Y=-144.330765 R=-79.825043;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.531 Y=-178.801 Z=-3.957;P=-18.955687 Y=52.926605 R=-1.769318;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:2:742;None;None;X=-127.579 Y=-151.108 Z=-16.160;P=-38.779404 Y=-143.554337 R=-85.130295;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.481 Y=-179.794 Z=-4.393;P=-25.160189 Y=53.084370 R=-2.608247;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:242;None;None;X=-127.630 Y=-150.599 Z=-17.155;P=-37.942638 Y=-140.464325 R=-83.972664;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.377 Y=-179.593 Z=-4.184;P=-24.213135 Y=52.270683 R=-2.545776;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:741;None;None;X=-127.158 Y=-150.669 Z=-16.871;P=-34.495750 Y=-143.296783 R=-85.770111;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.145 Y=-180.099 Z=-4.219;P=-24.950256 Y=51.000923 R=-3.369996;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:242;None;None;X=-130.345 Y=-150.518 Z=-8.086;P=-49.356552 Y=-137.472885 R=-84.287788;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.741 Y=-180.908 Z=-3.814;P=-22.516907 Y=51.230755 R=-3.374666;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:4:743;None;None;X=-131.925 Y=-149.286 Z=-8.016;P=-49.132965 Y=-133.206329 R=-88.841858;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.968 Y=-181.182 Z=-3.591;P=-21.015774 Y=51.320820 R=-3.099914;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:5:242;None;None;X=-135.463 Y=-149.114 Z=-3.648;P=-57.240612 Y=-124.115143 R=-91.999634;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-146.134 Y=-181.444 Z=-3.210;P=-18.867277 Y=52.200287 R=-3.466187;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:5:742;None;None;X=-133.535 Y=-150.471 Z=0.852;P=-60.122395 Y=-133.645370 R=-80.137093;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-146.104 Y=-181.104 Z=-2.688;P=-16.305840 Y=53.667233 R=-2.963166;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:6:244;None;None;X=-134.641 Y=-151.873 Z=4.878;P=-66.914787 Y=-131.802979 R=-83.346802;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.839 Y=-181.402 Z=-2.162;P=-13.548035 Y=53.472622 R=-2.791840;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:6:728;None;None;X=-134.405 Y=-151.577 Z=4.883;P=-66.873611 Y=-125.842827 R=-92.888100;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.340 Y=-181.617 Z=-2.148;P=-13.677514 Y=52.926598 R=-3.229859;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:7:228;None;None;X=-133.853 Y=-150.810 Z=4.882;P=-64.955521 Y=-123.360054 R=-95.587074;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.091 Y=-181.424 Z=-2.230;P=-14.223909 Y=52.022011 R=-3.943817;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:7:727;None;None;X=-133.698 Y=-150.297 Z=4.172;P=-63.990879 Y=-121.242928 R=-98.732742;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.416 Y=-181.055 Z=-2.248;P=-14.774013 Y=51.113903 R=-3.315735;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:8:228;None;None;X=-133.883 Y=-150.983 Z=3.178;P=-64.506882 Y=-122.972603 R=-96.811226;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.400 Y=-181.422 Z=-2.360;P=-15.067171 Y=50.005436 R=-3.645661;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:8:744;None;None;X=-131.149 Y=-154.311 Z=-3.228;P=-63.448116 Y=-144.470291 R=-72.709259;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-144.646 Y=-181.954 Z=-2.773;P=-17.090942 Y=46.359703 R=-4.223909;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:9:228;None;None;X=-131.902 Y=-154.818 Z=0.852;P=-65.441856 Y=-136.015182 R=-85.997704;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-144.228 Y=-182.306 Z=-2.893;P=-18.323908 Y=44.848366 R=-4.295228;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:9:728;None;None;X=-135.308 Y=-157.140 Z=7.638;P=-78.504013 Y=-125.743637 R=-92.717239;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.723 Y=-182.612 Z=-1.862;P=-12.635125 Y=46.276707 R=-2.551270;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:10:230;None;None;X=-136.461 Y=-158.140 Z=7.281;P=-79.084747 Y=-121.420921 R=-99.132927;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-146.266 Y=-183.340 Z=-1.874;P=-11.598904 Y=46.394066 R=-2.925080;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:10:730;None;None;X=-135.966 Y=-158.277 Z=6.616;P=-78.656151 Y=-124.909401 R=-95.826126;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.742 Y=-183.420 Z=-2.009;P=-12.180870 Y=46.152237 R=-3.449647;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:11:234;None;None;X=-134.542 Y=-155.891 Z=5.221;P=-70.584755 Y=-122.225929 R=-103.263626;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-145.238 Y=-183.117 Z=-1.968;P=-12.163112 Y=46.831917 R=-3.173645;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:11:734;None;None;X=-131.162 Y=-154.354 Z=1.886;P=-64.828697 Y=-129.313065 R=-94.349159;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-144.018 Y=-183.157 Z=-1.988;P=-12.604738 Y=45.832596 R=-4.124361;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:12:234;None;None;X=-129.062 Y=-156.616 Z=-3.931;P=-61.877575 Y=-137.633881 R=-86.670021;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-142.446 Y=-183.177 Z=-2.773;P=-18.635590 Y=42.783249 R=-2.441834;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:12:735;None;None;X=-123.720 Y=-156.337 Z=-9.849;P=-53.838448 Y=-137.473526 R=-92.155457;X=-139.001 Y=-112.439 Z=-16.447;P=44.058399 Y=-51.254292 R=97.991554;X=-136.359 Y=-183.299 Z=-3.054;P=-19.489349 Y=36.512695 R=-3.148530;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:13:235;None;None;X=-112.391 Y=-156.618 Z=-21.901;P=-39.629910 Y=-147.763031 R=-82.960152;X=-101.900 Y=-180.731 Z=-14.514;P=42.891121 Y=31.374800 R=112.657394;X=-124.866 Y=-184.296 Z=-2.770;P=-21.748468 Y=18.367149 R=-0.009796;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
