Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:299;None;None;X=-87.828 Y=-163.801 Z=11.630;P=-33.178749 Y=-157.414429 R=-1.278401;X=-45.667 Y=-252.528 Z=8.083;P=50.489826 Y=55.430481 R=170.245193;X=-114.229 Y=-185.204 Z=27.926;P=-8.666444 Y=40.272888 R=3.811687;0;0;X=-113.962 Y=-184.814 Z=27.837;X=0.714 Y=0.680 Z=-0.168
0:0:800;None;None;X=-106.791 Y=-172.560 Z=-50.626;P=52.876381 Y=161.476639 R=30.890141;X=-45.667 Y=-252.528 Z=8.083;P=50.489826 Y=55.430481 R=170.245193;X=-109.204 Y=-187.565 Z=25.321;P=-21.761377 Y=25.877022 R=-0.061584;0;0;X=-109.273 Y=-186.623 Z=25.427;X=0.824 Y=0.331 Z=-0.459
0:1:298;None;None;X=-112.403 Y=-172.475 Z=-51.692;P=53.641537 Y=159.483932 R=29.610582;X=-45.667 Y=-252.528 Z=8.083;P=50.489826 Y=55.430481 R=170.245193;X=-106.189 Y=-188.539 Z=21.999;P=-38.055202 Y=13.532723 R=1.863169;0;0;X=-105.894 Y=-188.140 Z=21.644;X=0.716 Y=0.143 Z=-0.683
0:1:798;None;None;X=-112.403 Y=-172.475 Z=-51.692;P=53.641537 Y=159.483932 R=29.610582;X=-45.667 Y=-252.528 Z=8.083;P=50.489826 Y=55.430481 R=170.245193;X=-105.551 Y=-187.227 Z=17.885;P=-53.517365 Y=10.789602 R=4.059332;0;0;X=-105.472 Y=-186.537 Z=17.708;X=0.568 Y=0.077 Z=-0.819
0:2:299;None;None;X=-112.403 Y=-172.475 Z=-51.692;P=53.641537 Y=159.483932 R=29.610582;X=-45.667 Y=-252.528 Z=8.083;P=50.489826 Y=55.430481 R=170.245193;X=-105.931 Y=-185.876 Z=18.791;P=-49.439327 Y=15.332391 R=2.612362;0;0;X=-105.126 Y=-186.214 Z=17.968;X=0.574 Y=0.308 Z=-0.759
0:2:802;None;None;X=-93.736 Y=-156.541 Z=-29.835;P=14.974704 Y=-157.189774 R=-64.340263;X=-78.230 Y=-208.973 Z=-29.657;P=-18.831173 Y=-1.319875 R=119.610268;X=-107.184 Y=-185.251 Z=19.198;P=-48.913944 Y=23.462040 R=-0.295991;0;0;X=-106.943 Y=-185.049 Z=18.587;X=0.577 Y=0.276 Z=-0.768
0:3:296;None;None;X=-95.000 Y=-161.350 Z=-35.183;P=22.028124 Y=-158.996536 R=-65.076668;X=-82.092 Y=-205.324 Z=-33.694;P=-24.005669 Y=4.161353 R=117.136238;X=-106.539 Y=-185.268 Z=19.304;P=-48.147820 Y=22.307178 R=0.109049;0;0;X=-106.327 Y=-184.466 Z=18.695;X=0.693 Y=0.172 Z=-0.700
0:3:795;None;None;X=-94.957 Y=-164.759 Z=-37.365;P=27.747725 Y=-162.257767 R=-64.178627;X=-78.774 Y=-200.670 Z=-31.607;P=-24.706207 Y=4.325813 R=117.795433;X=-112.029 Y=-181.604 Z=26.950;P=-11.922573 Y=59.648293 R=0.062985;0;0;X=-110.595 Y=-181.014 Z=26.386;X=0.330 Y=0.944 Z=-0.031
0:4:294;None;None;X=-96.258 Y=-164.127 Z=-37.798;P=29.539795 Y=-159.112717 R=-63.279404;X=-78.774 Y=-200.670 Z=-31.607;P=-24.706207 Y=4.325813 R=117.795433;X=-113.023 Y=-182.149 Z=27.072;P=-11.118434 Y=60.306030 R=1.196058;0;0;X=-111.958 Y=-181.649 Z=26.929;X=0.334 Y=0.940 Z=-0.071
0:4:793;None;None;X=-95.246 Y=-165.351 Z=-37.882;P=28.675093 Y=-160.233612 R=-62.974800;X=-78.774 Y=-200.670 Z=-31.607;P=-24.706207 Y=4.325813 R=117.795433;X=-112.996 Y=-182.493 Z=27.104;P=-10.753907 Y=58.583786 R=1.377515;0;0;X=-111.849 Y=-182.030 Z=26.951;X=0.345 Y=0.936 Z=-0.076
