Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:416;None;None;X=-139.980 Y=-174.153 Z=-3.572;P=-18.503534 Y=-147.094757 R=71.652161;X=-80.030 Y=-226.779 Z=-12.773;P=53.591747 Y=25.933214 R=-134.981247;X=-170.532 Y=-207.069 Z=18.438;P=-6.513425 Y=44.668034 R=2.720431;0;0;X=-169.665 Y=-206.939 Z=18.161;X=0.692 Y=0.674 Z=-0.258
0:0:916;None;None;X=-145.547 Y=-181.179 Z=-6.311;P=-8.219121 Y=-156.921783 R=67.167503;X=-80.030 Y=-226.779 Z=-12.773;P=53.591747 Y=25.933214 R=-134.981247;X=-168.526 Y=-208.206 Z=18.357;P=-7.128934 Y=39.135033 R=2.284782;0;0;X=-168.106 Y=-208.079 Z=18.213;X=0.748 Y=0.644 Z=-0.161
0:1:416;None;None;X=-152.360 Y=-190.170 Z=-24.066;P=27.848141 Y=-173.065369 R=46.187603;X=-80.030 Y=-226.779 Z=-12.773;P=53.591747 Y=25.933214 R=-134.981247;X=-163.168 Y=-208.792 Z=16.475;P=-18.617947 Y=34.568935 R=1.831474;0;0;X=-163.060 Y=-208.827 Z=16.234;X=0.714 Y=0.497 Z=-0.493
0:1:917;None;None;X=-151.766 Y=-195.658 Z=-27.759;P=26.466831 Y=179.005692 R=33.191246;X=-145.880 Y=-213.409 Z=-28.925;P=-21.844139 Y=54.583038 R=-143.757370;X=-158.375 Y=-210.278 Z=13.750;P=-33.908352 Y=27.476954 R=5.806456;0;1;X=-158.858 Y=-208.972 Z=13.738;X=0.572 Y=0.520 Z=-0.634
0:2:419;None;None;X=-149.237 Y=-197.770 Z=-28.021;P=24.105129 Y=-177.456802 R=28.023657;X=-141.260 Y=-216.179 Z=-29.491;P=-22.932898 Y=54.571674 R=-146.165771;X=-155.596 Y=-211.939 Z=14.470;P=-29.663052 Y=44.415779 R=1.741780;0;1;X=-155.473 Y=-211.326 Z=13.914;X=0.567 Y=0.571 Z=-0.594
0:2:918;None;None;X=-141.850 Y=-203.421 Z=-27.517;P=21.838886 Y=-173.676682 R=29.768988;X=-135.168 Y=-223.796 Z=-29.204;P=-19.961815 Y=50.925167 R=-144.830627;X=-148.115 Y=-220.598 Z=14.025;P=-29.261868 Y=25.882048 R=2.693603;0;1;X=-148.392 Y=-219.870 Z=13.725;X=0.783 Y=0.280 Z=-0.555
0:3:418;None;None;X=-134.319 Y=-205.681 Z=-29.422;P=25.641964 Y=-179.147842 R=29.569424;X=-128.824 Y=-228.275 Z=-30.657;P=-20.944098 Y=40.891819 R=-145.976410;X=-138.751 Y=-221.233 Z=13.233;P=-30.284948 Y=19.549559 R=2.696685;0;1;X=-139.413 Y=-221.996 Z=12.876;X=0.751 Y=0.247 Z=-0.612
0:3:915;None;None;X=-124.066 Y=-198.878 Z=-12.257;P=-37.656937 Y=-179.609238 R=29.883169;X=-116.045 Y=-229.759 Z=-5.461;P=60.034088 Y=6.950925 R=-166.116669;X=-128.883 Y=-217.996 Z=14.236;P=-25.850462 Y=9.612880 R=4.537384;0;1;X=-129.322 Y=-218.476 Z=13.691;X=0.837 Y=0.064 Z=-0.543
0:4:415;None;None;X=-124.066 Y=-198.878 Z=-12.257;P=-37.656937 Y=-179.609238 R=29.883169;X=-116.045 Y=-229.759 Z=-5.461;P=60.034088 Y=6.950925 R=-166.116669;X=-119.830 Y=-223.061 Z=14.295;P=-28.444328 Y=24.746462 R=3.577471;0;1;X=-120.225 Y=-221.879 Z=13.835;X=0.714 Y=0.372 Z=-0.593
0:4:917;None;None;X=-124.066 Y=-198.878 Z=-12.257;P=-37.656937 Y=-179.609238 R=29.883169;X=-116.045 Y=-229.759 Z=-5.461;P=60.034088 Y=6.950925 R=-166.116669;X=-115.011 Y=-235.095 Z=13.890;P=-27.200769 Y=28.942953 R=3.275883;0;1;X=-114.843 Y=-233.832 Z=13.585;X=0.764 Y=0.385 Z=-0.519
