Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:149;None;None;X=-22.885 Y=-225.154 Z=-0.529;P=-47.002277 Y=-137.931000 R=73.627441;X=-44.113 Y=-238.604 Z=-13.039;P=66.466240 Y=25.430740 R=-170.553116;X=-44.641 Y=-264.008 Z=15.160;P=-10.025938 Y=58.488766 R=-0.690430;0;0;X=-44.051 Y=-263.515 Z=14.960;X=0.523 Y=0.830 Z=-0.195
0:0:649;None;None;X=-39.126 Y=-246.117 Z=-15.597;P=-70.868233 Y=-170.869644 R=59.825207;X=-44.113 Y=-238.604 Z=-13.039;P=66.466240 Y=25.430740 R=-170.553116;X=-44.846 Y=-262.944 Z=14.803;P=-10.928159 Y=59.285828 R=-0.750793;0;0;X=-43.655 Y=-262.718 Z=14.655;X=0.509 Y=0.832 Z=-0.222
0:1:149;None;None;X=-40.933 Y=-243.193 Z=-19.227;P=-51.518394 Y=-134.071762 R=18.454123;X=-40.308 Y=-249.595 Z=-25.883;P=53.334743 Y=92.375488 R=-144.371170;X=-44.137 Y=-261.518 Z=12.358;P=-25.167088 Y=57.007504 R=-1.337738;0;0;X=-44.434 Y=-261.027 Z=12.064;X=0.437 Y=0.630 Z=-0.642
0:1:652;None;None;X=-42.433 Y=-245.448 Z=-25.157;P=-41.856838 Y=-138.094696 R=23.361687;X=-40.865 Y=-251.730 Z=-27.726;P=45.500866 Y=90.176521 R=-146.067703;X=-43.815 Y=-260.445 Z=9.707;P=-37.068607 Y=54.227901 R=-1.966888;0;0;X=-43.370 Y=-259.918 Z=9.342;X=0.455 Y=0.589 Z=-0.668
0:2:152;None;None;X=-43.436 Y=-245.351 Z=-27.147;P=-39.121166 Y=-135.653809 R=21.535679;X=-45.024 Y=-258.020 Z=-38.228;P=-16.588575 Y=114.507271 R=-136.601196;X=-43.504 Y=-261.945 Z=8.528;P=-41.516052 Y=46.415405 R=-0.362456;0;0;X=-43.213 Y=-261.596 Z=7.968;X=0.358 Y=0.580 Z=-0.732
0:2:650;None;None;X=-42.016 Y=-245.795 Z=-29.714;P=-31.400318 Y=-132.821228 R=32.168846;X=-40.671 Y=-253.669 Z=-36.135;P=1.595778 Y=81.196831 R=-118.194763;X=-44.282 Y=-262.013 Z=8.950;P=-37.855606 Y=51.427120 R=-3.665528;0;0;X=-43.796 Y=-261.588 Z=8.521;X=0.489 Y=0.650 Z=-0.582
0:3:150;None;None;X=-42.583 Y=-247.685 Z=-32.192;P=-13.025559 Y=-123.853043 R=17.597542;X=-41.943 Y=-252.335 Z=-33.836;P=3.091357 Y=70.903915 R=-176.654556;X=-44.669 Y=-262.065 Z=9.199;P=-36.312553 Y=52.569324 R=-4.192934;0;0;X=-44.229 Y=-261.699 Z=8.896;X=0.506 Y=0.655 Z=-0.561
0:3:653;None;None;X=-43.533 Y=-246.347 Z=-31.866;P=-11.212431 Y=-123.765289 R=7.716405;X=-39.872 Y=-251.584 Z=-33.220;P=-30.795109 Y=71.565308 R=128.612137;X=-45.660 Y=-261.195 Z=9.225;P=-35.906807 Y=55.387577 R=-3.117220;0;0;X=-45.146 Y=-260.942 Z=8.823;X=0.472 Y=0.677 Z=-0.565
0:4:145;None;None;X=-44.621 Y=-245.196 Z=-31.564;P=-12.296300 Y=-122.995995 R=8.090389;X=-40.702 Y=-250.723 Z=-34.006;P=-32.772453 Y=70.031677 R=135.693314;X=-46.520 Y=-260.249 Z=9.383;P=-36.677029 Y=58.584564 R=-3.234434;0;0;X=-45.667 Y=-260.242 Z=8.823;X=0.242 Y=0.769 Z=-0.592
0:4:645;None;None;X=-46.415 Y=-242.478 Z=-32.102;P=-10.726258 Y=-121.734741 R=7.134141;X=-42.071 Y=-248.818 Z=-34.119;P=-27.542286 Y=70.227776 R=141.702133;X=-47.569 Y=-258.140 Z=9.055;P=-37.542870 Y=59.104561 R=-3.628967;0;0;X=-46.911 Y=-258.045 Z=8.611;X=0.385 Y=0.680 Z=-0.623
