Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:149;None;None;X=3.966 Y=-227.675 Z=-1.131;P=-41.220711 Y=-128.094238 R=69.963692;X=-29.354 Y=-246.991 Z=-35.290;P=64.623779 Y=114.678528 R=-120.036774;X=-15.496 Y=-270.748 Z=12.330;P=-5.965425 Y=62.625031 R=-0.624328;0;1;X=-15.021 Y=-270.157 Z=12.207;X=0.469 Y=0.876 Z=-0.111
0:0:648;None;None;X=-5.908 Y=-242.505 Z=-5.767;P=-72.222183 Y=-149.472687 R=59.392700;X=-29.354 Y=-246.991 Z=-35.290;P=64.623779 Y=114.678528 R=-120.036774;X=-15.839 Y=-270.442 Z=12.552;P=-4.717065 Y=64.062073 R=-0.609009;0;1;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:149;None;None;X=-9.683 Y=-245.515 Z=-13.767;P=-67.264481 Y=-124.711067 R=22.968246;X=-29.354 Y=-246.991 Z=-35.290;P=64.623779 Y=114.678528 R=-120.036774;X=-16.242 Y=-270.191 Z=12.269;P=-6.668791 Y=64.890396 R=-0.510529;0;1;X=-15.752 Y=-269.547 Z=12.142;X=0.447 Y=0.887 Z=-0.112
0:1:648;None;None;X=-13.192 Y=-247.605 Z=-20.722;P=-57.781403 Y=-132.311081 R=31.046886;X=-29.354 Y=-246.991 Z=-35.290;P=64.623779 Y=114.678528 R=-120.036774;X=-15.871 Y=-268.742 Z=11.733;P=-9.400539 Y=66.571365 R=-0.928132;0;1;X=-15.466 Y=-268.341 Z=11.733;X=0.446 Y=0.886 Z=-0.129
0:2:150;None;None;X=-16.689 Y=-243.142 Z=-22.307;P=-54.643311 Y=-113.676567 R=22.713745;X=-29.354 Y=-246.991 Z=-35.290;P=64.623779 Y=114.678528 R=-120.036774;X=-15.458 Y=-267.714 Z=10.695;P=-16.988947 Y=66.689133 R=-1.006407;0;1;X=-15.388 Y=-267.092 Z=10.622;X=0.370 Y=0.830 Z=-0.418
0:2:651;None;None;X=-19.012 Y=-242.299 Z=-26.280;P=-44.799931 Y=-113.056725 R=27.937809;X=-9.288 Y=-255.812 Z=-30.517;P=46.569126 Y=84.378891 R=-141.623199;X=-15.019 Y=-265.594 Z=8.088;P=-30.033815 Y=65.971756 R=-1.862153;0;1;X=-14.581 Y=-265.477 Z=7.801;X=0.365 Y=0.720 Z=-0.590
0:3:150;None;None;X=-17.347 Y=-244.518 Z=-31.778;P=-34.577007 Y=-118.616692 R=27.406647;X=-10.533 Y=-256.720 Z=-33.439;P=37.470940 Y=88.451012 R=-142.721649;X=-14.471 Y=-264.167 Z=5.212;P=-41.804855 Y=63.487499 R=-2.355561;0;1;X=-14.275 Y=-263.715 Z=4.833;X=0.471 Y=0.542 Z=-0.696
0:3:648;None;None;X=-16.563 Y=-245.675 Z=-33.185;P=-31.267178 Y=-121.241028 R=28.345625;X=-12.356 Y=-263.902 Z=-44.266;P=-28.684238 Y=117.734589 R=-130.139771;X=-15.883 Y=-264.662 Z=4.314;P=-44.498314 Y=66.131256 R=-3.821813;0;1;X=-15.262 Y=-264.371 Z=3.771;X=0.142 Y=0.627 Z=-0.766
0:4:148;None;None;X=-18.484 Y=-246.222 Z=-35.736;P=-27.611483 Y=-123.232452 R=27.850658;X=-13.286 Y=-263.499 Z=-43.798;P=-29.118549 Y=115.454277 R=-132.028503;X=-16.686 Y=-264.798 Z=5.102;P=-41.525593 Y=62.255676 R=-3.306274;0;1;X=-17.027 Y=-264.207 Z=4.451;X=0.505 Y=0.562 Z=-0.655
0:4:649;None;None;X=-15.418 Y=-233.176 Z=-39.440;P=-17.751619 Y=-131.642929 R=49.466923;X=-12.013 Y=-260.399 Z=-45.141;P=-30.938951 Y=108.471977 R=-135.305786;X=-16.683 Y=-260.314 Z=4.220;P=-43.618202 Y=63.600258 R=-4.911380;0;1;X=-16.023 Y=-260.988 Z=3.669;X=0.189 Y=0.605 Z=-0.773
