Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:16;None;None;X=7.260 Y=-1.580 Z=-44.951;P=-14.127713 Y=166.830978 R=68.471977;X=-18.143 Y=-31.756 Z=-83.402;P=-25.564503 Y=-9.141331 R=-146.178177;X=-16.351 Y=-12.572 Z=-3.834;P=-51.841732 Y=10.315772 R=-6.397405;0;0;X=-16.044 Y=-11.086 Z=-4.568;X=0.581 Y=0.124 Z=-0.804
0:0:540;None;None;X=-1.623 Y=7.227 Z=-28.689;P=-67.902634 Y=-143.907288 R=-8.307407;X=-18.661 Y=-32.188 Z=-84.567;P=-25.564508 Y=-9.141328 R=-146.178177;X=-14.382 Y=-12.809 Z=-3.486;P=-51.241730 Y=13.900857 R=-8.548869;0;0;X=-14.037 Y=-11.654 Z=-4.100;X=0.605 Y=0.162 Z=-0.780
0:1:17;None;None;X=-10.262 Y=13.929 Z=-68.007;P=-8.700479 Y=-142.837036 R=23.195345;X=-12.709 Y=-24.865 Z=-70.799;P=-26.011415 Y=-2.473032 R=-161.705185;X=-16.430 Y=-11.332 Z=-6.654;P=-59.892506 Y=-0.075775 R=-8.299629;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:1:516;None;None;X=-13.657 Y=7.166 Z=-71.634;P=0.027737 Y=-161.749481 R=25.400351;X=-26.598 Y=-24.376 Z=-67.776;P=-18.593412 Y=-6.370075 R=-158.167511;X=-25.805 Y=-13.176 Z=-9.085;P=-62.651012 Y=5.616700 R=-11.668691;0;0;X=-23.811 Y=-10.554 Z=-9.601;X=0.426 Y=0.186 Z=-0.885
0:2:15;None;None;X=-34.466 Y=6.234 Z=-70.101;P=-2.948224 Y=-142.034561 R=23.798107;X=-36.601 Y=-29.783 Z=-71.160;P=-24.304140 Y=10.151686 R=-158.377441;X=-38.197 Y=-16.959 Z=-9.384;P=-62.219517 Y=29.148415 R=-19.499205;0;0;X=-36.874 Y=-14.768 Z=-9.900;X=0.323 Y=0.373 Z=-0.869
0:2:516;None;None;X=-38.485 Y=10.190 Z=-72.473;P=-1.101907 Y=-132.335480 R=25.381672;X=-33.979 Y=-27.856 Z=-68.173;P=-11.555669 Y=11.572168 R=-161.824936;X=-45.241 Y=-23.652 Z=-10.354;P=-57.676258 Y=7.147834 R=-13.285573;0;0;X=-43.929 Y=-20.443 Z=-10.761;X=0.529 Y=0.196 Z=-0.826
0:3:15;None;None;X=-27.526 Y=2.670 Z=-64.255;P=-1.205836 Y=-165.996735 R=27.082623;X=-35.487 Y=-30.550 Z=-71.122;P=-11.185602 Y=-7.877465 R=-177.061661;X=-47.083 Y=-29.351 Z=-10.814;P=-52.735600 Y=13.725723 R=-29.481264;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:3:515;None;None;X=-28.778 Y=3.203 Z=-66.617;P=-0.272641 Y=-159.103165 R=19.547554;X=-34.675 Y=-29.658 Z=-69.014;P=-16.909922 Y=-2.292828 R=-176.675766;X=-42.620 Y=-19.397 Z=-6.845;P=-49.304619 Y=14.885908 R=-16.462999;0;0;X=-42.836 Y=-22.994 Z=-8.516;X=0.679 Y=0.235 Z=-0.696
0:4:16;None;None;X=-3.811 Y=4.639 Z=-67.644;P=3.652478 Y=-161.953659 R=48.517391;X=-33.489 Y=-21.684 Z=-67.841;P=-19.334734 Y=-7.610259 R=-173.619125;X=-36.804 Y=-9.606 Z=-7.095;P=-55.426228 Y=8.672499 R=-14.042408;0;0;X=-37.240 Y=-12.767 Z=-8.017;X=0.558 Y=0.146 Z=-0.817
0:4:516;phillips_screwdriver;None;X=-1.085 Y=2.292 Z=-66.525;P=5.696931 Y=-162.141342 R=30.635370;X=-32.843 Y=-23.690 Z=-66.518;P=-16.627657 Y=-18.256041 R=-173.430496;X=-33.540 Y=-6.603 Z=-6.877;P=-55.515282 Y=3.082935 R=-11.642810;0;0;X=-33.683 Y=-8.914 Z=-7.858;X=0.529 Y=0.085 Z=-0.844
0:5:18;phillips_screwdriver;None;X=9.950 Y=2.626 Z=-51.253;P=-11.346958 Y=-168.097931 R=25.047462;X=-28.617 Y=-22.671 Z=-66.828;P=-15.142945 Y=-15.763085 R=-173.367996;X=-30.221 Y=-6.493 Z=-6.531;P=-52.469543 Y=1.297209 R=-11.479145;0;0;X=-30.124 Y=-5.919 Z=-7.195;X=0.678 Y=-0.082 Z=-0.730
0:5:517;phillips_screwdriver;None;X=28.981 Y=-10.961 Z=-53.050;P=-19.670513 Y=170.881744 R=48.671925;X=-17.164 Y=-34.417 Z=-69.428;P=-16.389687 Y=-26.284384 R=178.787109;X=-14.261 Y=-17.081 Z=-7.263;P=-51.571018 Y=2.137943 R=-12.464714;0;0;X=-16.732 Y=-17.564 Z=-8.323;X=0.696 Y=-0.058 Z=-0.716
0:6:18;phillips_screwdriver;None;X=35.615 Y=-12.922 Z=-60.813;P=-7.099421 Y=176.040146 R=46.694752;X=0.601 Y=-38.372 Z=-66.717;P=-16.407602 Y=-26.773392 R=178.995224;X=1.619 Y=-18.231 Z=-6.456;P=-52.566795 Y=18.625999 R=-15.979536;0;0;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
0:6:518;phillips_screwdriver;None;X=38.300 Y=-13.106 Z=-63.045;P=-5.074837 Y=171.018524 R=48.088604;X=9.388 Y=-32.981 Z=-67.411;P=-15.126211 Y=-7.459939 R=-177.032242;X=6.133 Y=-16.189 Z=-7.110;P=-54.532223 Y=24.187658 R=-14.852316;0;0;X=6.466 Y=-17.948 Z=-7.877;X=0.387 Y=0.361 Z=-0.848
0:7:17;phillips_screwdriver;None;X=37.414 Y=-13.474 Z=-69.134;P=3.454026 Y=166.543686 R=57.270405;X=8.104 Y=-33.130 Z=-68.466;P=-16.697258 Y=-6.427981 R=-168.783905;X=6.366 Y=-17.402 Z=-7.219;P=-57.058922 Y=13.979565 R=-10.344591;0;0;X=6.849 Y=-16.302 Z=-8.011;X=0.501 Y=-0.017 Z=-0.865
0:7:525;phillips_screwdriver;None;X=36.427 Y=-11.855 Z=-67.186;P=2.624882 Y=157.309937 R=64.877571;X=8.104 Y=-33.130 Z=-68.466;P=-16.697258 Y=-6.427981 R=-168.783905;X=6.509 Y=-17.454 Z=-6.798;P=-56.985867 Y=23.533625 R=-17.595139;0;0;X=6.623 Y=-16.976 Z=-7.635;X=0.446 Y=0.375 Z=-0.813
0:8:14;phillips_screwdriver;None;X=43.892 Y=10.602 Z=-61.629;P=-1.609937 Y=165.421066 R=75.219780;X=6.060 Y=-31.659 Z=-71.416;P=-16.698767 Y=-6.346946 R=-168.792343;X=9.475 Y=-11.821 Z=-8.278;P=-57.700287 Y=27.371622 R=-22.914690;0;0;X=8.767 Y=-12.087 Z=-8.636;X=0.474 Y=0.286 Z=-0.833
0:8:517;phillips_screwdriver;None;X=51.607 Y=19.372 Z=-73.117;P=13.405755 Y=159.405334 R=74.988487;X=8.603 Y=-15.503 Z=-68.364;P=-16.690105 Y=-6.355832 R=-168.788589;X=17.416 Y=3.382 Z=-10.172;P=-61.176785 Y=13.304327 R=-18.358856;0;0;X=17.406 Y=3.506 Z=-10.612;X=0.397 Y=0.132 Z=-0.908
0:9:15;phillips_screwdriver;None;X=51.210 Y=17.560 Z=-77.397;P=14.065784 Y=155.145218 R=71.147133;X=3.685 Y=-14.322 Z=-69.459;P=-38.880978 Y=-36.856510 R=161.699692;X=18.880 Y=6.641 Z=-12.083;P=-68.786163 Y=6.834365 R=-19.254700;0;0;X=19.136 Y=7.619 Z=-12.464;X=0.378 Y=0.066 Z=-0.923
0:9:516;phillips_screwdriver;None;X=50.854 Y=17.657 Z=-81.179;P=18.980698 Y=159.180161 R=65.842026;X=3.685 Y=-14.322 Z=-69.459;P=-38.880978 Y=-36.856510 R=161.699692;X=20.507 Y=8.645 Z=-13.510;P=-73.067863 Y=-2.215273 R=-13.760327;0;0;X=21.062 Y=9.591 Z=-14.277;X=0.384 Y=0.049 Z=-0.922
0:10:15;None;None;X=50.982 Y=23.107 Z=-80.120;P=38.355160 Y=168.356018 R=79.411270;X=3.685 Y=-14.322 Z=-69.459;P=-38.880978 Y=-36.856510 R=161.699692;X=18.734 Y=7.501 Z=-12.516;P=-70.740532 Y=-5.063511 R=-11.397571;0;1;X=19.562 Y=8.530 Z=-13.424;X=0.403 Y=0.070 Z=-0.912
0:10:516;None;None;X=51.732 Y=-3.341 Z=-64.877;P=-4.446637 Y=145.295227 R=50.199944;X=1.578 Y=-14.648 Z=-65.913;P=-19.083868 Y=-46.339279 R=-164.981445;X=18.307 Y=2.274 Z=-11.875;P=-67.656967 Y=-21.849712 R=-5.770082;0;1;X=0.000 Y=0.000 Z=0.000;X=0.000 Y=0.000 Z=0.000
