Time;RightHandObject;LeftHandObject;RightHandPos;RightHandRot;LeftHandPos;LeftHandRot;HeadPos;HeadRot;ObjectPut;TotalErrors;EyeTrackerPos;EyeTrackerDir
0:0:231;None;None;X=-136.627 Y=-190.699 Z=-4.187;P=-11.021548 Y=-141.491898 R=78.290863;X=-56.093 Y=-219.916 Z=6.459;P=54.831787 Y=42.830780 R=-154.457657;X=-165.099 Y=-226.379 Z=17.789;P=-14.252835 Y=40.850315 R=2.840749;0;0;X=-165.133 Y=-225.145 Z=17.530;X=0.674 Y=0.699 Z=-0.238
0:0:733;None;None;X=-146.295 Y=-200.942 Z=-3.845;P=-21.837301 Y=-155.069443 R=65.095444;X=-56.093 Y=-219.916 Z=6.459;P=54.831787 Y=42.830780 R=-154.457657;X=-164.584 Y=-226.443 Z=17.748;P=-13.896272 Y=41.542088 R=2.893379;0;0;X=-164.335 Y=-226.027 Z=17.624;X=0.658 Y=0.741 Z=-0.131
0:1:233;None;None;X=-157.277 Y=-206.155 Z=-22.638;P=22.473063 Y=-164.931671 R=42.629383;X=-56.093 Y=-219.916 Z=6.459;P=54.831787 Y=42.830780 R=-154.457657;X=-162.505 Y=-223.709 Z=16.738;P=-19.472500 Y=39.552299 R=3.077620;0;0;X=-161.900 Y=-224.369 Z=16.522;X=0.635 Y=0.570 Z=-0.521
0:1:734;None;None;X=-156.847 Y=-205.347 Z=-26.516;P=31.065571 Y=-170.266998 R=31.978640;X=-147.568 Y=-217.847 Z=-14.132;P=28.925919 Y=59.805351 R=-179.160416;X=-158.196 Y=-219.698 Z=14.502;P=-30.963316 Y=28.921888 R=3.876314;0;0;X=-158.232 Y=-220.038 Z=14.277;X=0.737 Y=0.331 Z=-0.589
0:2:234;None;None;X=-152.908 Y=-200.845 Z=-28.506;P=33.863670 Y=-177.374924 R=32.447212;X=-143.392 Y=-214.077 Z=-17.336;P=18.303082 Y=50.662403 R=-174.820724;X=-154.098 Y=-214.734 Z=13.883;P=-32.547516 Y=21.000107 R=2.791811;0;0;X=-154.196 Y=-215.141 Z=13.419;X=0.804 Y=0.306 Z=-0.511
0:2:734;None;None;X=-136.457 Y=-199.354 Z=-26.987;P=13.990446 Y=-176.556000 R=35.723099;X=-128.335 Y=-212.092 Z=-19.731;P=16.786575 Y=43.872414 R=-173.721817;X=-141.922 Y=-213.861 Z=15.008;P=-25.660555 Y=22.101324 R=1.565495;0;0;X=-143.174 Y=-213.766 Z=14.468;X=0.835 Y=0.110 Z=-0.539
0:3:234;None;None;X=-120.765 Y=-204.052 Z=-27.658;P=17.059702 Y=-174.051163 R=31.292362;X=-106.039 Y=-212.931 Z=-24.697;P=2.613845 Y=45.887775 R=-175.620102;X=-125.626 Y=-216.698 Z=12.774;P=-37.470840 Y=29.191711 R=3.747687;0;0;X=-126.261 Y=-216.786 Z=12.614;X=0.525 Y=0.545 Z=-0.654
0:3:735;None;None;X=-115.090 Y=-198.345 Z=-31.688;P=31.409599 Y=-170.117737 R=28.118893;X=-87.581 Y=-202.055 Z=-36.096;P=-16.295321 Y=34.788643 R=-178.501328;X=-116.168 Y=-210.144 Z=11.420;P=-39.447067 Y=38.763069 R=1.892410;0;0;X=-116.871 Y=-210.932 Z=11.045;X=0.672 Y=0.388 Z=-0.631
0:4:235;None;None;X=-111.076 Y=-188.770 Z=-33.231;P=38.549061 Y=-167.825333 R=30.936846;X=-68.761 Y=-188.917 Z=-43.482;P=-26.169191 Y=22.622643 R=-177.702103;X=-103.902 Y=-201.857 Z=10.741;P=-42.602253 Y=31.015932 R=8.775017;0;0;X=-104.769 Y=-202.670 Z=10.260;X=0.632 Y=0.267 Z=-0.727
0:4:735;None;plate;X=-107.746 Y=-188.031 Z=-33.947;P=37.595535 Y=-157.450851 R=27.372988;X=-63.596 Y=-183.303 Z=-48.779;P=-41.492001 Y=26.156788 R=173.902542;X=-96.251 Y=-198.897 Z=10.745;P=-43.886932 Y=43.099220 R=8.767929;0;0;X=-95.738 Y=-199.328 Z=10.189;X=0.517 Y=0.339 Z=-0.786
